transaction_id,payment_id,ledger_id,settlement_id,expected_status
txn_00091,pay_00091,ledger_00091,set_00091,AMOUNT_MISMATCH
txn_00092,pay_00092,ledger_00092,set_00092,MATCH
txn_00093,pay_00093,ledger_00093,set_00093,MATCH
txn_00094,pay_00094,ledger_00094,set_00094,MATCH
txn_00095,pay_00095,ledger_00095,set_00095,MATCH
txn_00096,pay_00096,ledger_00096,set_00096,TIMESTAMP_DRIFT
txn_00097,pay_00097,ledger_00097,set_00097,MATCH
txn_00098,pay_00098,ledger_00098,set_00098,MATCH
txn_00099,pay_00099,ledger_00099,set_00099,MATCH
txn_00100,,ledger_00100,set_00100,MISSING_PAYMENT
txn_00101,pay_00101,ledger_00101,set_00101,AMOUNT_MISMATCH
txn_00102,pay_00102,ledger_00102,set_00102,MATCH
txn_00103,pay_00103,ledger_00103,set_00103,TIMESTAMP_DRIFT
txn_00104,pay_00104,ledger_00104,set_00104,TIMESTAMP_DRIFT
txn_00105,pay_00105,ledger_00105,set_00105,MATCH
txn_00106,pay_00106,ledger_00106,set_00106,REFERENCE_CORRUPTION
txn_00107,pay_00107,ledger_00107,set_00107,TIMESTAMP_DRIFT
txn_00108,pay_00108,ledger_00108,set_00108,AMOUNT_MISMATCH
txn_00109,pay_00109,ledger_00109,set_00109,MATCH
txn_00110,pay_00110,ledger_00110,set_00110,MATCH
txn_00111,pay_00111,,set_00111,MISSING_LEDGER
txn_00112,pay_00112,ledger_00112,set_00112,MATCH
txn_00113,pay_00113,ledger_00113,set_00113,MATCH
txn_00114,pay_00114,ledger_00114,set_00114,MATCH
txn_00115,pay_00115,ledger_00115,set_00115,MATCH
txn_00116,pay_00116,,set_00116,MISSING_LEDGER
txn_00117,pay_00117,ledger_00117,set_00117,MATCH
txn_00118,pay_00118,ledger_00118,set_00118,MATCH
txn_00119,pay_00119,ledger_00119,set_00119,MATCH
txn_00120,pay_00120,ledger_00120,set_00120,MATCH
txn_00121,pay_00121,ledger_00121,set_00121,MATCH
txn_00122,pay_00122,ledger_00122,set_00122,MATCH
txn_00123,pay_00123,ledger_00123,set_00123,AMOUNT_MISMATCH
txn_00124,pay_00124,ledger_00124,set_00124,MATCH
txn_00125,pay_00125,ledger_00125,set_00125,MATCH
txn_00126,pay_00126,ledger_00126,set_00126,MATCH
txn_00127,pay_00127,,set_00127,MISSING_LEDGER
txn_00128,pay_00128,ledger_00128,set_00128,AMOUNT_MISMATCH
txn_00129,pay_00129,ledger_00129,set_00129,REFERENCE_CORRUPTION
txn_00130,pay_00130,ledger_00130,set_00130,MATCH
txn_00131,,ledger_00131,set_00131,MISSING_PAYMENT
txn_00132,,ledger_00132,set_00132,MISSING_PAYMENT
txn_00133,pay_00133,ledger_00133,set_00133,DUPLICATE_LEDGER
txn_00134,pay_00134,ledger_00134,set_00134,MATCH
txn_00135,pay_00135,ledger_00135,set_00135,MATCH
txn_00136,pay_00136,,set_00136,MISSING_LEDGER
txn_00137,pay_00137,ledger_00137,set_00137,MATCH
txn_00138,pay_00138,ledger_00138,set_00138,MATCH
txn_00139,pay_00139,ledger_00139,set_00139,MATCH
txn_00140,pay_00140,,set_00140,MISSING_LEDGER
txn_00141,pay_00141,ledger_00141,set_00141,DUPLICATE_LEDGER
txn_00142,pay_00142,ledger_00142,set_00142,TIMESTAMP_DRIFT
txn_00143,pay_00143,ledger_00143,set_00143,TIMESTAMP_DRIFT
txn_00144,pay_00144,ledger_00144,set_00144,MATCH
txn_00145,pay_00145,ledger_00145,set_00145,AMOUNT_MISMATCH
txn_00146,pay_00146,ledger_00146,set_00146,MATCH
txn_00147,pay_00147,ledger_00147,set_00147,MATCH
txn_00148,pay_00148,ledger_00148,set_00148,MATCH
txn_00149,pay_00149,ledger_00149,set_00149,MATCH
txn_00150,pay_00150,ledger_00150,set_00150,AMOUNT_MISMATCH
txn_00151,pay_00151,ledger_00151,set_00151,AMOUNT_MISMATCH
txn_00152,pay_00152,ledger_00152,set_00152,TIMESTAMP_DRIFT
txn_00153,pay_00153,ledger_00153,set_00153,MATCH
txn_00154,pay_00154,ledger_00154,set_00154,MATCH
txn_00155,pay_00155,ledger_00155,set_00155,MATCH
txn_00156,pay_00156,ledger_00156,set_00156,MATCH
txn_00157,pay_00157,ledger_00157,set_00157,MATCH
txn_00158,pay_00158,ledger_00158,set_00158,MATCH
txn_00159,pay_00159,ledger_00159,set_00159,AMOUNT_MISMATCH
txn_00160,pay_00160,ledger_00160,set_00160,AMOUNT_MISMATCH
txn_00161,pay_00161,ledger_00161,set_00161,MATCH
txn_00162,pay_00162,ledger_00162,set_00162,MATCH
txn_00163,pay_00163,ledger_00163,set_00163,MATCH
txn_00164,pay_00164,ledger_00164,set_00164,MATCH
txn_00165,pay_00165,ledger_00165,set_00165,REFERENCE_CORRUPTION
txn_00166,pay_00166,ledger_00166,set_00166,AMOUNT_MISMATCH
txn_00167,pay_00167,ledger_00167,set_00167,MATCH
txn_00168,pay_00168,,set_00168,MISSING_LEDGER
txn_00169,pay_00169,ledger_00169,set_00169,MATCH
txn_00170,pay_00170,ledger_00170,set_00170,MATCH
txn_00171,pay_00171,ledger_00171,set_00171,TIMESTAMP_DRIFT
txn_00172,pay_00172,ledger_00172,set_00172,MATCH
txn_00173,pay_00173,ledger_00173,set_00173,MATCH
txn_00174,pay_00174,ledger_00174,set_00174,MATCH
txn_00175,pay_00175,ledger_00175,set_00175,AMOUNT_MISMATCH
txn_00176,pay_00176,,set_00176,MISSING_LEDGER
txn_00177,pay_00177,ledger_00177,set_00177,AMOUNT_MISMATCH
txn_00178,pay_00178,ledger_00178,set_00178,MATCH
txn_00179,pay_00179,ledger_00179,set_00179,MATCH
txn_00180,pay_00180,ledger_00180,set_00180,AMBIGUOUS_MATCH
txn_00181,pay_00181,ledger_00181,set_00181,MATCH
txn_00182,pay_00182,ledger_00182,set_00182,MATCH
txn_00183,pay_00183,ledger_00183,set_00183,MATCH
txn_00184,pay_00184,ledger_00184,set_00184,MATCH
txn_00185,pay_00185,ledger_00185,set_00185,MATCH
txn_00186,pay_00186,ledger_00186,set_00186,MATCH
txn_00187,pay_00187,ledger_00187,set_00187,SETTLEMENT_MISMATCH
txn_00188,,ledger_00188,set_00188,MISSING_PAYMENT
txn_00189,pay_00189,ledger_00189,set_00189,DUPLICATE_LEDGER
txn_00190,pay_00190,ledger_00190,set_00190,MATCH
txn_00191,pay_00191,ledger_00191,set_00191,MATCH
txn_00192,pay_00192,ledger_00192,set_00192,MATCH
txn_00193,pay_00193,ledger_00193,set_00193,MATCH
txn_00194,pay_00194,ledger_00194,set_00194,MATCH
txn_00195,pay_00195,ledger_00195,set_00195,MATCH
txn_00196,pay_00196,ledger_00196,set_00196,MATCH
txn_00197,pay_00197,ledger_00197,set_00197,AMOUNT_MISMATCH
txn_00198,pay_00198,ledger_00198,set_00198,MATCH
txn_00199,pay_00199,ledger_00199,set_00199,MATCH
txn_00200,pay_00200,ledger_00200,set_00200,MATCH
txn_00201,pay_00201,ledger_00201,set_00201,DUPLICATE_LEDGER
txn_00202,pay_00202,ledger_00202,set_00202,MATCH
txn_00203,pay_00203,ledger_00203,set_00203,MATCH
txn_00204,pay_00204,ledger_00204,set_00204,MATCH
txn_00205,pay_00205,ledger_00205,set_00205,REFERENCE_CORRUPTION
txn_00206,pay_00206,ledger_00206,set_00206,MATCH
txn_00207,pay_00207,ledger_00207,set_00207,SETTLEMENT_MISMATCH
txn_00208,pay_00208,ledger_00208,set_00208,MATCH
txn_00209,pay_00209,,set_00209,MISSING_LEDGER
txn_00210,pay_00210,ledger_00210,set_00210,MATCH
txn_00211,pay_00211,ledger_00211,set_00211,AMBIGUOUS_MATCH
txn_00212,pay_00212,ledger_00212,set_00212,MATCH
txn_00213,pay_00213,,set_00213,MISSING_LEDGER
txn_00214,pay_00214,ledger_00214,set_00214,MATCH
txn_00215,pay_00215,ledger_00215,set_00215,MATCH
txn_00216,pay_00216,,set_00216,MISSING_LEDGER
txn_00217,pay_00217,ledger_00217,set_00217,MATCH
txn_00218,pay_00218,ledger_00218,set_00218,MATCH
txn_00219,,ledger_00219,set_00219,MISSING_PAYMENT
txn_00220,pay_00220,ledger_00220,set_00220,MATCH
txn_00221,pay_00221,ledger_00221,set_00221,MATCH
txn_00222,pay_00222,ledger_00222,set_00222,MATCH
txn_00223,pay_00223,ledger_00223,set_00223,MATCH
txn_00224,pay_00224,ledger_00224,set_00224,MATCH
txn_00225,pay_00225,ledger_00225,set_00225,DUPLICATE_LEDGER
txn_00226,pay_00226,ledger_00226,set_00226,MATCH
txn_00227,pay_00227,ledger_00227,set_00227,MATCH
txn_00228,pay_00228,ledger_00228,set_00228,MATCH
txn_00229,,ledger_00229,set_00229,MISSING_PAYMENT
txn_00230,pay_00230,ledger_00230,set_00230,MATCH
txn_00231,pay_00231,ledger_00231,set_00231,MATCH
txn_00232,pay_00232,ledger_00232,set_00232,TIMESTAMP_DRIFT
txn_00233,pay_00233,ledger_00233,set_00233,MATCH
txn_00234,pay_00234,ledger_00234,set_00234,MATCH
txn_00235,pay_00235,ledger_00235,set_00235,AMOUNT_MISMATCH
txn_00236,pay_00236,ledger_00236,set_00236,MATCH
txn_00237,pay_00237,,set_00237,MISSING_LEDGER
txn_00238,pay_00238,ledger_00238,set_00238,MATCH
txn_00239,pay_00239,ledger_00239,set_00239,MATCH
txn_00240,pay_00240,ledger_00240,set_00240,MATCH
txn_00241,pay_00241,ledger_00241,set_00241,AMOUNT_MISMATCH
txn_00242,pay_00242,ledger_00242,set_00242,DUPLICATE_LEDGER
txn_00243,pay_00243,ledger_00243,set_00243,MATCH
txn_00244,pay_00244,ledger_00244,set_00244,MATCH
txn_00245,pay_00245,ledger_00245,set_00245,MATCH
txn_00246,pay_00246,ledger_00246,set_00246,MATCH
txn_00247,pay_00247,ledger_00247,set_00247,MATCH
txn_00248,pay_00248,ledger_00248,set_00248,MATCH
txn_00249,pay_00249,ledger_00249,set_00249,MATCH
txn_00250,pay_00250,ledger_00250,set_00250,MATCH
txn_00251,pay_00251,ledger_00251,set_00251,MATCH
txn_00252,pay_00252,ledger_00252,set_00252,MATCH
txn_00253,pay_00253,ledger_00253,set_00253,MATCH
txn_00254,pay_00254,ledger_00254,set_00254,MATCH
txn_00255,pay_00255,ledger_00255,set_00255,MATCH
txn_00256,pay_00256,ledger_00256,set_00256,AMOUNT_MISMATCH
txn_00257,pay_00257,ledger_00257,set_00257,MATCH
txn_00258,pay_00258,ledger_00258,set_00258,MATCH
txn_00259,pay_00259,,set_00259,MISSING_LEDGER
txn_00260,pay_00260,ledger_00260,set_00260,MATCH
txn_00261,pay_00261,,set_00261,MISSING_LEDGER
txn_00262,pay_00262,ledger_00262,set_00262,AMOUNT_MISMATCH
txn_00263,pay_00263,,set_00263,MISSING_LEDGER
txn_00264,pay_00264,ledger_00264,set_00264,MATCH
txn_00265,pay_00265,ledger_00265,set_00265,MATCH
txn_00266,,ledger_00266,set_00266,MISSING_PAYMENT
txn_00267,pay_00267,ledger_00267,set_00267,MATCH
txn_00268,pay_00268,ledger_00268,set_00268,MATCH
txn_00269,pay_00269,ledger_00269,set_00269,REFERENCE_CORRUPTION
txn_00270,pay_00270,ledger_00270,set_00270,MATCH
txn_00271,pay_00271,ledger_00271,set_00271,MATCH
txn_00272,pay_00272,ledger_00272,set_00272,MATCH
txn_00273,pay_00273,ledger_00273,set_00273,MATCH
txn_00274,pay_00274,ledger_00274,set_00274,MATCH
txn_00275,pay_00275,ledger_00275,set_00275,MATCH
txn_00276,pay_00276,ledger_00276,set_00276,MATCH
txn_00277,pay_00277,ledger_00277,set_00277,MATCH
txn_00278,pay_00278,ledger_00278,set_00278,MATCH
txn_00279,pay_00279,ledger_00279,set_00279,MATCH
txn_00280,pay_00280,ledger_00280,set_00280,MATCH
txn_00281,pay_00281,ledger_00281,set_00281,MATCH
txn_00282,pay_00282,ledger_00282,set_00282,AMOUNT_MISMATCH
txn_00283,pay_00283,ledger_00283,set_00283,MATCH
txn_00284,pay_00284,ledger_00284,set_00284,MATCH
txn_00285,pay_00285,ledger_00285,set_00285,MATCH
txn_00286,,ledger_00286,set_00286,MISSING_PAYMENT
txn_00287,pay_00287,ledger_00287,set_00287,MATCH
txn_00288,pay_00288,ledger_00288,set_00288,MATCH
txn_00289,pay_00289,ledger_00289,set_00289,DUPLICATE_LEDGER
txn_00290,pay_00290,,set_00290,MISSING_LEDGER
txn_00291,pay_00291,ledger_00291,set_00291,MATCH
txn_00292,pay_00292,ledger_00292,set_00292,MATCH
txn_00293,pay_00293,ledger_00293,set_00293,MATCH
txn_00294,pay_00294,ledger_00294,set_00294,MATCH
txn_00295,pay_00295,ledger_00295,set_00295,MATCH
txn_00296,,ledger_00296,set_00296,MISSING_PAYMENT
txn_00297,pay_00297,ledger_00297,set_00297,MATCH
txn_00298,pay_00298,ledger_00298,set_00298,MATCH
txn_00299,pay_00299,ledger_00299,set_00299,MATCH
txn_00300,pay_00300,ledger_00300,set_00300,MATCH
txn_00301,pay_00301,ledger_00301,set_00301,MATCH
txn_00302,pay_00302,ledger_00302,set_00302,MATCH
txn_00303,pay_00303,ledger_00303,set_00303,MATCH
txn_00304,pay_00304,ledger_00304,set_00304,MATCH
txn_00305,pay_00305,ledger_00305,set_00305,MATCH
txn_00306,pay_00306,,set_00306,MISSING_LEDGER
txn_00307,pay_00307,ledger_00307,set_00307,MATCH
txn_00308,pay_00308,ledger_00308,set_00308,AMOUNT_MISMATCH
txn_00309,pay_00309,ledger_00309,set_00309,MATCH
txn_00310,pay_00310,ledger_00310,set_00310,MATCH
txn_00311,pay_00311,ledger_00311,set_00311,MATCH
txn_00312,pay_00312,ledger_00312,set_00312,MATCH
txn_00313,pay_00313,ledger_00313,set_00313,MATCH
txn_00314,pay_00314,ledger_00314,set_00314,AMOUNT_MISMATCH
txn_00315,pay_00315,ledger_00315,set_00315,MATCH
txn_00316,pay_00316,ledger_00316,set_00316,DUPLICATE_LEDGER
txn_00317,pay_00317,ledger_00317,set_00317,MATCH
txn_00318,,ledger_00318,set_00318,MISSING_PAYMENT
txn_00319,pay_00319,ledger_00319,set_00319,MATCH
txn_00320,pay_00320,ledger_00320,set_00320,MATCH
txn_00321,pay_00321,ledger_00321,set_00321,MATCH
txn_00322,pay_00322,ledger_00322,set_00322,TIMESTAMP_DRIFT
txn_00323,pay_00323,,set_00323,MISSING_LEDGER
txn_00324,pay_00324,ledger_00324,set_00324,MATCH
txn_00325,pay_00325,ledger_00325,set_00325,MATCH
txn_00326,pay_00326,ledger_00326,set_00326,MATCH
txn_00327,pay_00327,ledger_00327,set_00327,AMOUNT_MISMATCH
txn_00328,pay_00328,ledger_00328,set_00328,MATCH
txn_00329,,ledger_00329,set_00329,MISSING_PAYMENT
txn_00330,pay_00330,ledger_00330,set_00330,MATCH
txn_00331,pay_00331,ledger_00331,set_00331,MATCH
txn_00332,pay_00332,ledger_00332,set_00332,MATCH
txn_00333,pay_00333,,set_00333,MISSING_LEDGER
txn_00334,pay_00334,ledger_00334,set_00334,MATCH
txn_00335,pay_00335,ledger_00335,set_00335,TIMESTAMP_DRIFT
txn_00336,pay_00336,ledger_00336,set_00336,AMBIGUOUS_MATCH
txn_00337,pay_00337,ledger_00337,set_00337,MATCH
txn_00338,pay_00338,ledger_00338,set_00338,MATCH
txn_00339,pay_00339,ledger_00339,set_00339,MATCH
txn_00340,pay_00340,ledger_00340,set_00340,MATCH
txn_00341,pay_00341,ledger_00341,set_00341,MATCH
txn_00342,pay_00342,ledger_00342,set_00342,MATCH
txn_00343,pay_00343,ledger_00343,set_00343,MATCH
txn_00344,pay_00344,ledger_00344,set_00344,MATCH
txn_00345,pay_00345,ledger_00345,set_00345,MATCH
txn_00346,pay_00346,ledger_00346,set_00346,MATCH
txn_00347,pay_00347,ledger_00347,set_00347,MATCH
txn_00348,pay_00348,ledger_00348,set_00348,MATCH
txn_00349,pay_00349,ledger_00349,set_00349,AMOUNT_MISMATCH
txn_00350,,ledger_00350,set_00350,MISSING_PAYMENT
txn_00351,pay_00351,ledger_00351,set_00351,TIMESTAMP_DRIFT
txn_00352,pay_00352,ledger_00352,set_00352,AMOUNT_MISMATCH
txn_00353,pay_00353,ledger_00353,set_00353,AMOUNT_MISMATCH
txn_00354,pay_00354,ledger_00354,set_00354,MATCH
txn_00355,pay_00355,ledger_00355,set_00355,MATCH
txn_00356,pay_00356,ledger_00356,set_00356,MATCH
txn_00357,,ledger_00357,set_00357,MISSING_PAYMENT
txn_00358,,ledger_00358,set_00358,MISSING_PAYMENT
txn_00359,pay_00359,ledger_00359,set_00359,MATCH
txn_00360,pay_00360,ledger_00360,set_00360,AMOUNT_MISMATCH
txn_00361,pay_00361,ledger_00361,set_00361,TIMESTAMP_DRIFT
txn_00362,pay_00362,ledger_00362,set_00362,MATCH
txn_00363,pay_00363,ledger_00363,set_00363,MATCH
txn_00364,pay_00364,ledger_00364,set_00364,MATCH
txn_00365,pay_00365,ledger_00365,set_00365,MATCH
txn_00366,pay_00366,,set_00366,MISSING_LEDGER
txn_00367,pay_00367,ledger_00367,set_00367,DUPLICATE_LEDGER
txn_00368,pay_00368,ledger_00368,set_00368,MATCH
txn_00369,pay_00369,ledger_00369,set_00369,REFERENCE_CORRUPTION
txn_00370,pay_00370,ledger_00370,set_00370,AMOUNT_MISMATCH
txn_00371,pay_00371,ledger_00371,set_00371,MATCH
txn_00372,pay_00372,ledger_00372,set_00372,DUPLICATE_LEDGER
txn_00373,pay_00373,ledger_00373,set_00373,MATCH
txn_00374,pay_00374,ledger_00374,set_00374,TIMESTAMP_DRIFT
txn_00375,pay_00375,ledger_00375,set_00375,MATCH
txn_00376,,ledger_00376,set_00376,MISSING_PAYMENT
txn_00377,pay_00377,ledger_00377,set_00377,DUPLICATE_LEDGER
txn_00378,pay_00378,ledger_00378,set_00378,MATCH
txn_00379,pay_00379,ledger_00379,set_00379,MATCH
txn_00380,,ledger_00380,set_00380,MISSING_PAYMENT
txn_00381,pay_00381,ledger_00381,set_00381,SETTLEMENT_MISMATCH
txn_00382,pay_00382,ledger_00382,set_00382,MATCH
txn_00383,pay_00383,ledger_00383,set_00383,MATCH
txn_00384,pay_00384,ledger_00384,set_00384,MATCH
txn_00385,pay_00385,ledger_00385,set_00385,REFERENCE_CORRUPTION
txn_00386,pay_00386,ledger_00386,set_00386,MATCH
txn_00387,pay_00387,ledger_00387,set_00387,MATCH
txn_00388,pay_00388,ledger_00388,set_00388,MATCH
txn_00389,pay_00389,ledger_00389,set_00389,MATCH
txn_00390,pay_00390,ledger_00390,set_00390,MATCH
txn_00391,pay_00391,ledger_00391,set_00391,MATCH
txn_00392,pay_00392,ledger_00392,set_00392,DUPLICATE_LEDGER
txn_00393,pay_00393,ledger_00393,set_00393,MATCH
txn_00394,pay_00394,ledger_00394,set_00394,MATCH
txn_00395,pay_00395,ledger_00395,set_00395,MATCH
txn_00396,pay_00396,ledger_00396,set_00396,MATCH
txn_00397,pay_00397,ledger_00397,set_00397,MATCH
txn_00398,pay_00398,ledger_00398,set_00398,MATCH
txn_00399,pay_00399,ledger_00399,set_00399,MATCH
txn_00400,pay_00400,ledger_00400,set_00400,SETTLEMENT_MISMATCH
txn_00401,,ledger_00401,set_00401,MISSING_PAYMENT
txn_00402,pay_00402,ledger_00402,set_00402,MATCH
txn_00403,pay_00403,ledger_00403,set_00403,MATCH
txn_00404,pay_00404,ledger_00404,set_00404,MATCH
txn_00405,pay_00405,ledger_00405,set_00405,SETTLEMENT_MISMATCH
txn_00406,pay_00406,ledger_00406,set_00406,MATCH
txn_00407,pay_00407,ledger_00407,set_00407,MATCH
txn_00408,pay_00408,ledger_00408,set_00408,MATCH
txn_00409,pay_00409,ledger_00409,set_00409,TIMESTAMP_DRIFT
txn_00410,pay_00410,ledger_00410,set_00410,MATCH
txn_00411,pay_00411,ledger_00411,set_00411,MATCH
txn_00412,pay_00412,ledger_00412,set_00412,MATCH
txn_00413,,ledger_00413,set_00413,MISSING_PAYMENT
txn_00414,pay_00414,ledger_00414,set_00414,MATCH
txn_00415,pay_00415,ledger_00415,set_00415,MATCH
txn_00416,pay_00416,ledger_00416,set_00416,MATCH
txn_00417,pay_00417,ledger_00417,set_00417,MATCH
txn_00418,pay_00418,ledger_00418,set_00418,MATCH
txn_00419,pay_00419,ledger_00419,set_00419,MATCH
txn_00420,pay_00420,,set_00420,MISSING_LEDGER
txn_00421,pay_00421,ledger_00421,set_00421,SETTLEMENT_MISMATCH
txn_00422,pay_00422,ledger_00422,set_00422,MATCH
txn_00423,pay_00423,,set_00423,MISSING_LEDGER
txn_00424,pay_00424,ledger_00424,set_00424,MATCH
txn_00425,pay_00425,,set_00425,MISSING_LEDGER
txn_00426,pay_00426,ledger_00426,set_00426,MATCH
txn_00427,pay_00427,ledger_00427,set_00427,MATCH
txn_00428,pay_00428,ledger_00428,set_00428,AMOUNT_MISMATCH
txn_00429,pay_00429,ledger_00429,set_00429,MATCH
txn_00430,pay_00430,ledger_00430,set_00430,MATCH
txn_00431,pay_00431,ledger_00431,set_00431,MATCH
txn_00432,pay_00432,ledger_00432,set_00432,MATCH
txn_00433,pay_00433,ledger_00433,set_00433,DUPLICATE_LEDGER
txn_00434,pay_00434,ledger_00434,set_00434,MATCH
txn_00435,pay_00435,ledger_00435,set_00435,AMOUNT_MISMATCH
txn_00436,pay_00436,ledger_00436,set_00436,MATCH
txn_00437,pay_00437,ledger_00437,set_00437,MATCH
txn_00438,pay_00438,ledger_00438,set_00438,MATCH
txn_00439,,ledger_00439,set_00439,MISSING_PAYMENT
txn_00440,pay_00440,ledger_00440,set_00440,MATCH
txn_00441,pay_00441,ledger_00441,set_00441,MATCH
txn_00442,pay_00442,ledger_00442,set_00442,MATCH
txn_00443,pay_00443,ledger_00443,set_00443,MATCH
txn_00444,pay_00444,ledger_00444,set_00444,AMOUNT_MISMATCH
txn_00445,pay_00445,ledger_00445,set_00445,MATCH
txn_00446,pay_00446,ledger_00446,set_00446,MATCH
txn_00447,pay_00447,ledger_00447,set_00447,DUPLICATE_LEDGER
txn_00448,pay_00448,ledger_00448,set_00448,REFERENCE_CORRUPTION
txn_00449,pay_00449,ledger_00449,set_00449,MATCH
