settlement_id,payment_id,gross_amount,fee,tax,net_amount,currency
set_00110,pay_00110,999,19.98,3.6,975.42,INR
set_00111,pay_00111,1499,29.98,5.4,1463.62,INR
set_00112,pay_00112,999,19.98,3.6,975.42,INR
set_00113,pay_00113,499,9.98,1.8,487.22,INR
set_00114,pay_00114,799,15.98,2.88,780.14,INR
set_00115,pay_00115,2499,49.98,9.0,2440.02,INR
set_00116,pay_00116,4999,99.98,18.0,4881.02,INR
set_00117,pay_00117,999,19.98,3.6,975.42,INR
set_00118,pay_00118,799,15.98,2.88,780.14,INR
set_00119,pay_00119,4999,99.98,18.0,4881.02,INR
set_00120,pay_00120,1499,29.98,5.4,1463.62,INR
set_00121,pay_00121,1499,29.98,5.4,1463.62,INR
set_00122,pay_00122,4999,99.98,18.0,4881.02,INR
set_00123,pay_00123,1499,29.98,5.4,1463.62,INR
set_00124,pay_00124,799,15.98,2.88,780.14,INR
set_00125,pay_00125,999,19.98,3.6,975.42,INR
set_00126,pay_00126,799,15.98,2.88,780.14,INR
set_00127,pay_00127,799,15.98,2.88,780.14,INR
set_00128,pay_00128,4999,99.98,18.0,4881.02,INR
set_00129,pay_00129,2499,49.98,9.0,2440.02,INR
set_00130,pay_00130,2499,49.98,9.0,2440.02,INR
set_00131,pay_00131,999,19.98,3.6,975.42,INR
set_00132,pay_00132,4999,99.98,18.0,4881.02,INR
set_00133,pay_00133,2499,49.98,9.0,2440.02,INR
set_00134,pay_00134,1499,29.98,5.4,1463.62,INR
set_00135,pay_00135,2499,49.98,9.0,2440.02,INR
set_00136,pay_00136,1499,29.98,5.4,1463.62,INR
set_00137,pay_00137,999,19.98,3.6,975.42,INR
set_00138,pay_00138,799,15.98,2.88,780.14,INR
set_00139,pay_00139,799,15.98,2.88,780.14,INR
set_00140,pay_00140,2499,49.98,9.0,2440.02,INR
set_00141,pay_00141,1499,29.98,5.4,1463.62,INR
set_00142,pay_00142,499,9.98,1.8,487.22,INR
set_00143,pay_00143,499,9.98,1.8,487.22,INR
set_00144,pay_00144,499,9.98,1.8,487.22,INR
set_00145,pay_00145,799,15.98,2.88,780.14,INR
set_00146,pay_00146,4999,99.98,18.0,4881.02,INR
set_00147,pay_00147,799,15.98,2.88,780.14,INR
set_00148,pay_00148,4999,99.98,18.0,4881.02,INR
set_00149,pay_00149,1499,29.98,5.4,1463.62,INR
set_00150,pay_00150,2499,49.98,9.0,2440.02,INR
set_00151,pay_00151,499,9.98,1.8,487.22,INR
set_00152,pay_00152,1499,29.98,5.4,1463.62,INR
set_00153,pay_00153,1499,29.98,5.4,1463.62,INR
set_00154,pay_00154,2499,49.98,9.0,2440.02,INR
set_00155,pay_00155,1499,29.98,5.4,1463.62,INR
set_00156,pay_00156,2499,49.98,9.0,2440.02,INR
set_00157,pay_00157,999,19.98,3.6,975.42,INR
set_00158,pay_00158,2499,49.98,9.0,2440.02,INR
set_00159,pay_00159,499,9.98,1.8,487.22,INR
set_00160,pay_00160,4999,99.98,18.0,4881.02,INR
set_00161,pay_00161,4999,99.98,18.0,4881.02,INR
set_00162,pay_00162,499,9.98,1.8,487.22,INR
set_00163,pay_00163,4999,99.98,18.0,4881.02,INR
set_00164,pay_00164,2499,49.98,9.0,2440.02,INR
set_00165,pay_00165,999,19.98,3.6,975.42,INR
set_00166,pay_00166,4999,99.98,18.0,4881.02,INR
set_00167,pay_00167,999,19.98,3.6,975.42,INR
set_00168,pay_00168,499,9.98,1.8,487.22,INR
set_00169,pay_00169,999,19.98,3.6,975.42,INR
set_00170,pay_00170,1499,29.98,5.4,1463.62,INR
set_00171,pay_00171,799,15.98,2.88,780.14,INR
set_00172,pay_00172,1499,29.98,5.4,1463.62,INR
set_00173,pay_00173,499,9.98,1.8,487.22,INR
set_00174,pay_00174,4999,99.98,18.0,4881.02,INR
set_00175,pay_00175,4999,99.98,18.0,4881.02,INR
set_00176,pay_00176,999,19.98,3.6,975.42,INR
set_00177,pay_00177,2499,49.98,9.0,2440.02,INR
set_00178,pay_00178,799,15.98,2.88,780.14,INR
set_00179,pay_00179,2499,49.98,9.0,2440.02,INR
set_00180,pay_00180,499,9.98,1.8,487.22,INR
set_00181,pay_00181,4999,99.98,18.0,4881.02,INR
set_00182,pay_00182,999,19.98,3.6,975.42,INR
set_00183,pay_00183,4999,99.98,18.0,4881.02,INR
set_00184,pay_00184,2499,49.98,9.0,2440.02,INR
set_00185,pay_00185,2499,49.98,9.0,2440.02,INR
set_00186,pay_00186,799,15.98,2.88,780.14,INR
set_00187,pay_00187,799,15.98,2.88,780.14,INR
set_00188,pay_00188,999,19.98,3.6,975.42,INR
set_00189,pay_00189,799,15.98,2.88,780.14,INR
set_00190,pay_00190,2499,49.98,9.0,2440.02,INR
set_00191,pay_00191,2499,49.98,9.0,2440.02,INR
set_00192,pay_00192,499,9.98,1.8,487.22,INR
set_00193,pay_00193,2499,49.98,9.0,2440.02,INR
set_00194,pay_00194,999,19.98,3.6,975.42,INR
set_00195,pay_00195,1499,29.98,5.4,1463.62,INR
set_00196,pay_00196,499,9.98,1.8,487.22,INR
set_00197,pay_00197,499,9.98,1.8,487.22,INR
set_00198,pay_00198,999,19.98,3.6,975.42,INR
set_00199,pay_00199,999,19.98,3.6,975.42,INR
set_00200,pay_00200,799,15.98,2.88,780.14,INR
set_00201,pay_00201,499,9.98,1.8,487.22,INR
set_00202,pay_00202,799,15.98,2.88,780.14,INR
set_00203,pay_00203,2499,49.98,9.0,2440.02,INR
set_00204,pay_00204,499,9.98,1.8,487.22,INR
set_00205,pay_00205,499,9.98,1.8,487.22,INR
set_00206,pay_00206,4999,99.98,18.0,4881.02,INR
set_00207,pay_00207,1499,29.98,5.4,1463.62,INR
set_00208,pay_00208,499,9.98,1.8,487.22,INR
set_00209,pay_00209,2499,49.98,9.0,2440.02,INR
set_00210,pay_00210,799,15.98,2.88,780.14,INR
set_00211,pay_00211,799,15.98,2.88,780.14,INR
set_00212,pay_00212,4999,99.98,18.0,4881.02,INR
set_00213,pay_00213,1499,29.98,5.4,1463.62,INR
set_00214,pay_00214,2499,49.98,9.0,2440.02,INR
set_00215,pay_00215,799,15.98,2.88,780.14,INR
set_00216,pay_00216,999,19.98,3.6,975.42,INR
set_00217,pay_00217,2499,49.98,9.0,2440.02,INR
set_00218,pay_00218,2499,49.98,9.0,2440.02,INR
set_00219,pay_00219,1499,29.98,5.4,1463.62,INR
set_00220,pay_00220,799,15.98,2.88,780.14,INR
set_00221,pay_00221,2499,49.98,9.0,2440.02,INR
set_00222,pay_00222,4999,99.98,18.0,4881.02,INR
set_00223,pay_00223,4999,99.98,18.0,4881.02,INR
set_00224,pay_00224,799,15.98,2.88,780.14,INR
set_00225,pay_00225,4999,99.98,18.0,4881.02,INR
set_00226,pay_00226,999,19.98,3.6,975.42,INR
set_00227,pay_00227,1499,29.98,5.4,1463.62,INR
set_00228,pay_00228,4999,99.98,18.0,4881.02,INR
set_00229,pay_00229,4999,99.98,18.0,4881.02,INR
set_00230,pay_00230,999,19.98,3.6,975.42,INR
set_00231,pay_00231,1499,29.98,5.4,1463.62,INR
set_00232,pay_00232,2499,49.98,9.0,2440.02,INR
set_00233,pay_00233,1499,29.98,5.4,1463.62,INR
set_00234,pay_00234,499,9.98,1.8,487.22,INR
set_00235,pay_00235,799,15.98,2.88,780.14,INR
set_00236,pay_00236,799,15.98,2.88,780.14,INR
set_00237,pay_00237,499,9.98,1.8,487.22,INR
set_00238,pay_00238,999,19.98,3.6,975.42,INR
set_00239,pay_00239,499,9.98,1.8,487.22,INR
set_00240,pay_00240,2499,49.98,9.0,2440.02,INR
set_00241,pay_00241,2499,49.98,9.0,2440.02,INR
set_00242,pay_00242,799,15.98,2.88,780.14,INR
set_00243,pay_00243,2499,49.98,9.0,2440.02,INR
set_00244,pay_00244,799,15.98,2.88,780.14,INR
set_00245,pay_00245,499,9.98,1.8,487.22,INR
set_00246,pay_00246,499,9.98,1.8,487.22,INR
set_00247,pay_00247,4999,99.98,18.0,4881.02,INR
set_00248,pay_00248,4999,99.98,18.0,4881.02,INR
set_00249,pay_00249,499,9.98,1.8,487.22,INR
set_00250,pay_00250,799,15.98,2.88,780.14,INR
set_00251,pay_00251,499,9.98,1.8,487.22,INR
set_00252,pay_00252,499,9.98,1.8,487.22,INR
set_00253,pay_00253,999,19.98,3.6,975.42,INR
set_00254,pay_00254,499,9.98,1.8,487.22,INR
set_00255,pay_00255,2499,49.98,9.0,2440.02,INR
set_00256,pay_00256,799,15.98,2.88,780.14,INR
set_00257,pay_00257,999,19.98,3.6,975.42,INR
set_00258,pay_00258,4999,99.98,18.0,4881.02,INR
set_00259,pay_00259,1499,29.98,5.4,1463.62,INR
set_00260,pay_00260,799,15.98,2.88,780.14,INR
set_00261,pay_00261,2499,49.98,9.0,2440.02,INR
set_00262,pay_00262,799,15.98,2.88,780.14,INR
set_00263,pay_00263,4999,99.98,18.0,4881.02,INR
set_00264,pay_00264,2499,49.98,9.0,2440.02,INR
set_00265,pay_00265,2499,49.98,9.0,2440.02,INR
set_00266,pay_00266,1499,29.98,5.4,1463.62,INR
set_00267,pay_00267,799,15.98,2.88,780.14,INR
set_00268,pay_00268,1499,29.98,5.4,1463.62,INR
set_00269,pay_00269,1499,29.98,5.4,1463.62,INR
set_00270,pay_00270,799,15.98,2.88,780.14,INR
set_00271,pay_00271,499,9.98,1.8,487.22,INR
set_00272,pay_00272,499,9.98,1.8,487.22,INR
set_00273,pay_00273,4999,99.98,18.0,4881.02,INR
set_00274,pay_00274,1499,29.98,5.4,1463.62,INR
set_00275,pay_00275,999,19.98,3.6,975.42,INR
set_00276,pay_00276,1499,29.98,5.4,1463.62,INR
set_00277,pay_00277,1499,29.98,5.4,1463.62,INR
set_00278,pay_00278,1499,29.98,5.4,1463.62,INR
set_00279,pay_00279,4999,99.98,18.0,4881.02,INR
set_00280,pay_00280,499,9.98,1.8,487.22,INR
set_00281,pay_00281,4999,99.98,18.0,4881.02,INR
set_00282,pay_00282,4999,99.98,18.0,4881.02,INR
set_00283,pay_00283,4999,99.98,18.0,4881.02,INR
set_00284,pay_00284,499,9.98,1.8,487.22,INR
set_00285,pay_00285,499,9.98,1.8,487.22,INR
set_00286,pay_00286,1499,29.98,5.4,1463.62,INR
set_00287,pay_00287,4999,99.98,18.0,4881.02,INR
set_00288,pay_00288,999,19.98,3.6,975.42,INR
set_00289,pay_00289,499,9.98,1.8,487.22,INR
set_00290,pay_00290,799,15.98,2.88,780.14,INR
set_00291,pay_00291,799,15.98,2.88,780.14,INR
set_00292,pay_00292,799,15.98,2.88,780.14,INR
set_00293,pay_00293,2499,49.98,9.0,2440.02,INR
set_00294,pay_00294,1499,29.98,5.4,1463.62,INR
set_00295,pay_00295,799,15.98,2.88,780.14,INR
set_00296,pay_00296,1499,29.98,5.4,1463.62,INR
set_00297,pay_00297,799,15.98,2.88,780.14,INR
set_00298,pay_00298,999,19.98,3.6,975.42,INR
set_00299,pay_00299,1499,29.98,5.4,1463.62,INR
set_00300,pay_00300,799,15.98,2.88,780.14,INR
set_00301,pay_00301,499,9.98,1.8,487.22,INR
set_00302,pay_00302,1499,29.98,5.4,1463.62,INR
set_00303,pay_00303,2499,49.98,9.0,2440.02,INR
set_00304,pay_00304,499,9.98,1.8,487.22,INR
set_00305,pay_00305,499,9.98,1.8,487.22,INR
set_00306,pay_00306,4999,99.98,18.0,4881.02,INR
set_00307,pay_00307,2499,49.98,9.0,2440.02,INR
set_00308,pay_00308,499,9.98,1.8,487.22,INR
set_00309,pay_00309,499,9.98,1.8,487.22,INR
set_00310,pay_00310,799,15.98,2.88,780.14,INR
set_00311,pay_00311,799,15.98,2.88,780.14,INR
set_00312,pay_00312,1499,29.98,5.4,1463.62,INR
set_00313,pay_00313,1499,29.98,5.4,1463.62,INR
set_00314,pay_00314,1499,29.98,5.4,1463.62,INR
set_00315,pay_00315,799,15.98,2.88,780.14,INR
set_00316,pay_00316,1499,29.98,5.4,1463.62,INR
set_00317,pay_00317,499,9.98,1.8,487.22,INR
set_00318,pay_00318,799,15.98,2.88,780.14,INR
set_00319,pay_00319,1499,29.98,5.4,1463.62,INR
set_00320,pay_00320,499,9.98,1.8,487.22,INR
set_00321,pay_00321,1499,29.98,5.4,1463.62,INR
set_00322,pay_00322,999,19.98,3.6,975.42,INR
set_00323,pay_00323,1499,29.98,5.4,1463.62,INR
set_00324,pay_00324,999,19.98,3.6,975.42,INR
set_00325,pay_00325,1499,29.98,5.4,1463.62,INR
set_00326,pay_00326,4999,99.98,18.0,4881.02,INR
set_00327,pay_00327,4999,99.98,18.0,4881.02,INR
set_00328,pay_00328,2499,49.98,9.0,2440.02,INR
set_00329,pay_00329,4999,99.98,18.0,4881.02,INR
set_00330,pay_00330,4999,99.98,18.0,4881.02,INR
set_00331,pay_00331,1499,29.98,5.4,1463.62,INR
set_00332,pay_00332,799,15.98,2.88,780.14,INR
set_00333,pay_00333,799,15.98,2.88,780.14,INR
set_00334,pay_00334,999,19.98,3.6,975.42,INR
set_00335,pay_00335,799,15.98,2.88,780.14,INR
set_00336,pay_00336,499,9.98,1.8,487.22,INR
set_00337,pay_00337,2499,49.98,9.0,2440.02,INR
set_00338,pay_00338,4999,99.98,18.0,4881.02,INR
set_00339,pay_00339,2499,49.98,9.0,2440.02,INR
set_00340,pay_00340,499,9.98,1.8,487.22,INR
set_00341,pay_00341,4999,99.98,18.0,4881.02,INR
set_00342,pay_00342,999,19.98,3.6,975.42,INR
set_00343,pay_00343,499,9.98,1.8,487.22,INR
set_00344,pay_00344,499,9.98,1.8,487.22,INR
set_00345,pay_00345,2499,49.98,9.0,2440.02,INR
set_00346,pay_00346,1499,29.98,5.4,1463.62,INR
set_00347,pay_00347,2499,49.98,9.0,2440.02,INR
set_00348,pay_00348,2499,49.98,9.0,2440.02,INR
set_00349,pay_00349,799,15.98,2.88,780.14,INR
set_00350,pay_00350,499,9.98,1.8,487.22,INR
set_00351,pay_00351,2499,49.98,9.0,2440.02,INR
set_00352,pay_00352,499,9.98,1.8,487.22,INR
set_00353,pay_00353,799,15.98,2.88,780.14,INR
set_00354,pay_00354,499,9.98,1.8,487.22,INR
set_00355,pay_00355,2499,49.98,9.0,2440.02,INR
set_00356,pay_00356,499,9.98,1.8,487.22,INR
set_00357,pay_00357,4999,99.98,18.0,4881.02,INR
set_00358,pay_00358,799,15.98,2.88,780.14,INR
set_00359,pay_00359,1499,29.98,5.4,1463.62,INR
set_00360,pay_00360,499,9.98,1.8,487.22,INR
set_00361,pay_00361,2499,49.98,9.0,2440.02,INR
set_00362,pay_00362,799,15.98,2.88,780.14,INR
set_00363,pay_00363,2499,49.98,9.0,2440.02,INR
set_00364,pay_00364,2499,49.98,9.0,2440.02,INR
set_00365,pay_00365,499,9.98,1.8,487.22,INR
set_00366,pay_00366,2499,49.98,9.0,2440.02,INR
set_00367,pay_00367,499,9.98,1.8,487.22,INR
set_00368,pay_00368,1499,29.98,5.4,1463.62,INR
set_00369,pay_00369,4999,99.98,18.0,4881.02,INR
set_00370,pay_00370,2499,49.98,9.0,2440.02,INR
set_00371,pay_00371,2499,49.98,9.0,2440.02,INR
set_00372,pay_00372,2499,49.98,9.0,2440.02,INR
set_00373,pay_00373,999,19.98,3.6,975.42,INR
set_00374,pay_00374,999,19.98,3.6,975.42,INR
set_00375,pay_00375,799,15.98,2.88,780.14,INR
set_00376,pay_00376,4999,99.98,18.0,4881.02,INR
set_00377,pay_00377,4999,99.98,18.0,4881.02,INR
set_00378,pay_00378,999,19.98,3.6,975.42,INR
set_00379,pay_00379,799,15.98,2.88,780.14,INR
set_00380,pay_00380,999,19.98,3.6,975.42,INR
set_00381,pay_00381,1499,29.98,5.4,1463.62,INR
set_00382,pay_00382,799,15.98,2.88,780.14,INR
set_00383,pay_00383,4999,99.98,18.0,4881.02,INR
set_00384,pay_00384,4999,99.98,18.0,4881.02,INR
set_00385,pay_00385,999,19.98,3.6,975.42,INR
set_00386,pay_00386,1499,29.98,5.4,1463.62,INR
set_00387,pay_00387,999,19.98,3.6,975.42,INR
set_00388,pay_00388,499,9.98,1.8,487.22,INR
set_00389,pay_00389,499,9.98,1.8,487.22,INR
set_00390,pay_00390,1499,29.98,5.4,1463.62,INR
set_00391,pay_00391,2499,49.98,9.0,2440.02,INR
set_00392,pay_00392,2499,49.98,9.0,2440.02,INR
set_00393,pay_00393,499,9.98,1.8,487.22,INR
set_00394,pay_00394,499,9.98,1.8,487.22,INR
set_00395,pay_00395,2499,49.98,9.0,2440.02,INR
set_00396,pay_00396,799,15.98,2.88,780.14,INR
set_00397,pay_00397,2499,49.98,9.0,2440.02,INR
set_00398,pay_00398,999,19.98,3.6,975.42,INR
set_00399,pay_00399,799,15.98,2.88,780.14,INR
set_00400,pay_00400,999,19.98,3.6,975.42,INR
set_00401,pay_00401,499,9.98,1.8,487.22,INR
set_00402,pay_00402,799,15.98,2.88,780.14,INR
set_00403,pay_00403,999,19.98,3.6,975.42,INR
set_00404,pay_00404,999,19.98,3.6,975.42,INR
set_00405,pay_00405,799,15.98,2.88,780.14,INR
set_00406,pay_00406,1499,29.98,5.4,1463.62,INR
set_00407,pay_00407,2499,49.98,9.0,2440.02,INR
set_00408,pay_00408,4999,99.98,18.0,4881.02,INR
set_00409,pay_00409,999,19.98,3.6,975.42,INR
set_00410,pay_00410,2499,49.98,9.0,2440.02,INR
set_00411,pay_00411,4999,99.98,18.0,4881.02,INR
set_00412,pay_00412,2499,49.98,9.0,2440.02,INR
set_00413,pay_00413,499,9.98,1.8,487.22,INR
set_00414,pay_00414,4999,99.98,18.0,4881.02,INR
set_00415,pay_00415,2499,49.98,9.0,2440.02,INR
set_00416,pay_00416,999,19.98,3.6,975.42,INR
set_00417,pay_00417,4999,99.98,18.0,4881.02,INR
set_00418,pay_00418,499,9.98,1.8,487.22,INR
set_00419,pay_00419,799,15.98,2.88,780.14,INR
set_00420,pay_00420,999,19.98,3.6,975.42,INR
set_00421,pay_00421,499,9.98,1.8,487.22,INR
set_00422,pay_00422,499,9.98,1.8,487.22,INR
set_00423,pay_00423,4999,99.98,18.0,4881.02,INR
set_00424,pay_00424,2499,49.98,9.0,2440.02,INR
set_00425,pay_00425,799,15.98,2.88,780.14,INR
set_00426,pay_00426,999,19.98,3.6,975.42,INR
set_00427,pay_00427,999,19.98,3.6,975.42,INR
set_00428,pay_00428,2499,49.98,9.0,2440.02,INR
set_00429,pay_00429,799,15.98,2.88,780.14,INR
set_00430,pay_00430,4999,99.98,18.0,4881.02,INR
set_00431,pay_00431,999,19.98,3.6,975.42,INR
set_00432,pay_00432,799,15.98,2.88,780.14,INR
set_00433,pay_00433,4999,99.98,18.0,4881.02,INR
set_00434,pay_00434,4999,99.98,18.0,4881.02,INR
set_00435,pay_00435,999,19.98,3.6,975.42,INR
set_00436,pay_00436,2499,49.98,9.0,2440.02,INR
set_00437,pay_00437,1499,29.98,5.4,1463.62,INR
set_00438,pay_00438,999,19.98,3.6,975.42,INR
set_00439,pay_00439,499,9.98,1.8,487.22,INR
set_00440,pay_00440,499,9.98,1.8,487.22,INR
set_00441,pay_00441,4999,99.98,18.0,4881.02,INR
set_00442,pay_00442,1499,29.98,5.4,1463.62,INR
set_00443,pay_00443,999,19.98,3.6,975.42,INR
set_00444,pay_00444,499,9.98,1.8,487.22,INR
set_00445,pay_00445,499,9.98,1.8,487.22,INR
set_00446,pay_00446,999,19.98,3.6,975.42,INR
set_00447,pay_00447,799,15.98,2.88,780.14,INR
set_00448,pay_00448,4999,99.98,18.0,4881.02,INR
set_00449,pay_00449,999,19.98,3.6,975.42,INR
set_00450,pay_00450,799,15.98,2.88,780.14,INR
set_00451,pay_00451,4999,99.98,18.0,4881.02,INR
set_00452,pay_00452,1499,29.98,5.4,1463.62,INR
set_00453,pay_00453,2499,49.98,9.0,2440.02,INR
set_00454,pay_00454,4999,99.98,18.0,4881.02,INR
set_00455,pay_00455,1499,29.98,5.4,1463.62,INR
set_00456,pay_00456,2499,49.98,9.0,2440.02,INR
set_00457,pay_00457,499,9.98,1.8,487.22,INR
set_00458,pay_00458,499,9.98,1.8,487.22,INR
set_00459,pay_00459,499,9.98,1.8,487.22,INR
set_00460,pay_00460,4999,99.98,18.0,4881.02,INR
set_00461,pay_00461,799,15.98,2.88,780.14,INR
set_00462,pay_00462,2499,49.98,9.0,2440.02,INR
set_00463,pay_00463,499,9.98,1.8,487.22,INR
set_00464,pay_00464,999,19.98,3.6,975.42,INR
set_00465,pay_00465,2499,49.98,9.0,2440.02,INR
set_00466,pay_00466,2499,49.98,9.0,2440.02,INR
set_00467,pay_00467,799,15.98,2.88,780.14,INR
set_00468,pay_00468,1499,29.98,5.4,1463.62,INR
set_00469,pay_00469,799,15.98,2.88,780.14,INR
set_00470,pay_00470,499,9.98,1.8,487.22,INR
set_00471,pay_00471,999,19.98,3.6,975.42,INR
set_00472,pay_00472,999,19.98,3.6,975.42,INR
set_00473,pay_00473,499,9.98,1.8,487.22,INR
set_00474,pay_00474,999,19.98,3.6,975.42,INR
set_00475,pay_00475,799,15.98,2.88,780.14,INR
set_00476,pay_00476,4999,99.98,18.0,4881.02,INR
set_00477,pay_00477,799,15.98,2.88,780.14,INR
set_00478,pay_00478,4999,99.98,18.0,4881.02,INR
set_00479,pay_00479,499,9.98,1.8,487.22,INR
set_00480,pay_00480,999,19.98,3.6,975.42,INR
set_00481,pay_00481,2499,49.98,9.0,2440.02,INR
