payment_id,order_id,amount,currency,status,payment_ref
pay_00083,ord_00083,999,INR,captured,ord_00083
pay_00084,ord_00084,799,INR,captured,ord_00084
pay_00085,ord_00085,4999,INR,captured,ord_00085
pay_00086,ord_00086,999,INR,captured,ord_00086
pay_00087,ord_00087,4999,INR,captured,ord_00087
pay_00088,ord_00088,4999,INR,captured,ord_00088
pay_00089,ord_00089,4999,INR,captured,ord_00089
pay_00090,ord_00090,499,INR,captured,ord_00090
pay_00091,ord_00091,2499,INR,captured,ord_00091
pay_00092,ord_00092,4999,INR,captured,ord_00092
pay_00093,ord_00093,799,INR,captured,ord_00093
pay_00094,ord_00094,2499,INR,captured,ord_00094
pay_00095,ord_00095,4999,INR,captured,ord_00095
pay_00096,ord_00096,799,INR,captured,ord_00096
pay_00097,ord_00097,799,INR,captured,ord_00097
pay_00098,ord_00098,1499,INR,captured,ord_00098
pay_00099,ord_00099,1499,INR,captured,ord_00099
pay_00100,ord_00100,999,INR,captured,ord_00100
pay_00101,ord_00101,4999,INR,captured,ord_00101
pay_00102,ord_00102,4999,INR,captured,ord_00102
pay_00103,ord_00103,2499,INR,captured,ord_00103
pay_00104,ord_00104,799,INR,captured,ord_00104
pay_00105,ord_00105,4999,INR,captured,ord_00105
pay_00106,ord_00106,999,INR,captured,ord_00106
pay_00107,ord_00107,499,INR,captured,ord_00107
pay_00108,ord_00108,799,INR,captured,ord_00108
pay_00109,ord_00109,499,INR,captured,ord_00109
pay_00110,ord_00110,999,INR,captured,ord_00110
pay_00111,ord_00111,1499,INR,captured,ord_00111
pay_00112,ord_00112,999,INR,captured,ord_00112
pay_00113,ord_00113,499,INR,captured,ord_00113
pay_00114,ord_00114,799,INR,captured,ord_00114
pay_00115,ord_00115,2499,INR,captured,ord_00115
pay_00116,ord_00116,4999,INR,captured,ord_00116
pay_00117,ord_00117,999,INR,captured,ord_00117
pay_00118,ord_00118,799,INR,captured,ord_00118
pay_00119,ord_00119,4999,INR,captured,ord_00119
pay_00120,ord_00120,1499,INR,captured,ord_00120
pay_00121,ord_00121,1499,INR,captured,ord_00121
pay_00122,ord_00122,4999,INR,captured,ord_00122
pay_00123,ord_00123,1499,INR,captured,ord_00123
pay_00124,ord_00124,799,INR,captured,ord_00124
pay_00125,ord_00125,999,INR,captured,ord_00125
pay_00126,ord_00126,799,INR,captured,ord_00126
pay_00127,ord_00127,799,INR,captured,ord_00127
pay_00128,ord_00128,4999,INR,captured,ord_00128
pay_00129,ord_00129,2499,INR,captured,ord_00129
pay_00130,ord_00130,2499,INR,captured,ord_00130
pay_00131,ord_00131,999,INR,captured,ord_00131
pay_00132,ord_00132,4999,INR,captured,ord_00132
pay_00133,ord_00133,2499,INR,captured,ord_00133
pay_00134,ord_00134,1499,INR,captured,ord_00134
pay_00135,ord_00135,2499,INR,captured,ord_00135
pay_00136,ord_00136,1499,INR,captured,ord_00136
pay_00137,ord_00137,999,INR,captured,ord_00137
pay_00138,ord_00138,799,INR,captured,ord_00138
pay_00139,ord_00139,799,INR,captured,ord_00139
pay_00140,ord_00140,2499,INR,captured,ord_00140
pay_00141,ord_00141,1499,INR,captured,ord_00141
pay_00142,ord_00142,499,INR,captured,ord_00142
pay_00143,ord_00143,499,INR,captured,ord_00143
pay_00144,ord_00144,499,INR,captured,ord_00144
pay_00145,ord_00145,799,INR,captured,ord_00145
pay_00146,ord_00146,4999,INR,captured,ord_00146
pay_00147,ord_00147,799,INR,captured,ord_00147
pay_00148,ord_00148,4999,INR,captured,ord_00148
pay_00149,ord_00149,1499,INR,captured,ord_00149
pay_00150,ord_00150,2499,INR,captured,ord_00150
pay_00151,ord_00151,499,INR,captured,ord_00151
pay_00152,ord_00152,1499,INR,captured,ord_00152
pay_00153,ord_00153,1499,INR,captured,ord_00153
pay_00154,ord_00154,2499,INR,captured,ord_00154
pay_00155,ord_00155,1499,INR,captured,ord_00155
pay_00156,ord_00156,2499,INR,captured,ord_00156
pay_00157,ord_00157,999,INR,captured,ord_00157
pay_00158,ord_00158,2499,INR,captured,ord_00158
pay_00159,ord_00159,499,INR,captured,ord_00159
pay_00160,ord_00160,4999,INR,captured,ord_00160
pay_00161,ord_00161,4999,INR,captured,ord_00161
pay_00162,ord_00162,499,INR,captured,ord_00162
pay_00163,ord_00163,4999,INR,captured,ord_00163
pay_00164,ord_00164,2499,INR,captured,ord_00164
pay_00165,ord_00165,999,INR,captured,ord_00165
pay_00166,ord_00166,4999,INR,captured,ord_00166
pay_00167,ord_00167,999,INR,captured,ord_00167
pay_00168,ord_00168,499,INR,captured,ord_00168
pay_00169,ord_00169,999,INR,captured,ord_00169
pay_00170,ord_00170,1499,INR,captured,ord_00170
pay_00171,ord_00171,799,INR,captured,ord_00171
pay_00172,ord_00172,1499,INR,captured,ord_00172
pay_00173,ord_00173,499,INR,captured,ord_00173
pay_00174,ord_00174,4999,INR,captured,ord_00174
pay_00175,ord_00175,4999,INR,captured,ord_00175
pay_00176,ord_00176,999,INR,captured,ord_00176
pay_00177,ord_00177,2499,INR,captured,ord_00177
pay_00178,ord_00178,799,INR,captured,ord_00178
pay_00179,ord_00179,2499,INR,captured,ord_00179
pay_00180,ord_00180,499,INR,captured,ord_00180
pay_00181,ord_00181,4999,INR,captured,ord_00181
pay_00182,ord_00182,999,INR,captured,ord_00182
pay_00183,ord_00183,4999,INR,captured,ord_00183
pay_00184,ord_00184,2499,INR,captured,ord_00184
pay_00185,ord_00185,2499,INR,captured,ord_00185
pay_00186,ord_00186,799,INR,captured,ord_00186
pay_00187,ord_00187,799,INR,captured,ord_00187
pay_00188,ord_00188,999,INR,captured,ord_00188
pay_00189,ord_00189,799,INR,captured,ord_00189
pay_00190,ord_00190,2499,INR,captured,ord_00190
pay_00191,ord_00191,2499,INR,captured,ord_00191
pay_00192,ord_00192,499,INR,captured,ord_00192
pay_00193,ord_00193,2499,INR,captured,ord_00193
pay_00194,ord_00194,999,INR,captured,ord_00194
pay_00195,ord_00195,1499,INR,captured,ord_00195
pay_00196,ord_00196,499,INR,captured,ord_00196
pay_00197,ord_00197,499,INR,captured,ord_00197
pay_00198,ord_00198,999,INR,captured,ord_00198
pay_00199,ord_00199,999,INR,captured,ord_00199
pay_00200,ord_00200,799,INR,captured,ord_00200
pay_00201,ord_00201,499,INR,captured,ord_00201
pay_00202,ord_00202,799,INR,captured,ord_00202
pay_00203,ord_00203,2499,INR,captured,ord_00203
pay_00204,ord_00204,499,INR,captured,ord_00204
pay_00205,ord_00205,499,INR,captured,ord_00205
pay_00206,ord_00206,4999,INR,captured,ord_00206
pay_00207,ord_00207,1499,INR,captured,ord_00207
pay_00208,ord_00208,499,INR,captured,ord_00208
pay_00209,ord_00209,2499,INR,captured,ord_00209
pay_00210,ord_00210,799,INR,captured,ord_00210
pay_00211,ord_00211,799,INR,captured,ord_00211
pay_00212,ord_00212,4999,INR,captured,ord_00212
pay_00213,ord_00213,1499,INR,captured,ord_00213
pay_00214,ord_00214,2499,INR,captured,ord_00214
pay_00215,ord_00215,799,INR,captured,ord_00215
pay_00216,ord_00216,999,INR,captured,ord_00216
pay_00217,ord_00217,2499,INR,captured,ord_00217
pay_00218,ord_00218,2499,INR,captured,ord_00218
pay_00219,ord_00219,1499,INR,captured,ord_00219
pay_00220,ord_00220,799,INR,captured,ord_00220
pay_00221,ord_00221,2499,INR,captured,ord_00221
pay_00222,ord_00222,4999,INR,captured,ord_00222
pay_00223,ord_00223,4999,INR,captured,ord_00223
pay_00224,ord_00224,799,INR,captured,ord_00224
pay_00225,ord_00225,4999,INR,captured,ord_00225
pay_00226,ord_00226,999,INR,captured,ord_00226
pay_00227,ord_00227,1499,INR,captured,ord_00227
pay_00228,ord_00228,4999,INR,captured,ord_00228
pay_00229,ord_00229,4999,INR,captured,ord_00229
pay_00230,ord_00230,999,INR,captured,ord_00230
pay_00231,ord_00231,1499,INR,captured,ord_00231
pay_00232,ord_00232,2499,INR,captured,ord_00232
pay_00233,ord_00233,1499,INR,captured,ord_00233
pay_00234,ord_00234,499,INR,captured,ord_00234
pay_00235,ord_00235,799,INR,captured,ord_00235
pay_00236,ord_00236,799,INR,captured,ord_00236
pay_00237,ord_00237,499,INR,captured,ord_00237
pay_00238,ord_00238,999,INR,captured,ord_00238
pay_00239,ord_00239,499,INR,captured,ord_00239
pay_00240,ord_00240,2499,INR,captured,ord_00240
pay_00241,ord_00241,2499,INR,captured,ord_00241
pay_00242,ord_00242,799,INR,captured,ord_00242
pay_00243,ord_00243,2499,INR,captured,ord_00243
pay_00244,ord_00244,799,INR,captured,ord_00244
pay_00245,ord_00245,499,INR,captured,ord_00245
pay_00246,ord_00246,499,INR,captured,ord_00246
pay_00247,ord_00247,4999,INR,captured,ord_00247
pay_00248,ord_00248,4999,INR,captured,ord_00248
pay_00249,ord_00249,499,INR,captured,ord_00249
pay_00250,ord_00250,799,INR,captured,ord_00250
pay_00251,ord_00251,499,INR,captured,ord_00251
pay_00252,ord_00252,499,INR,captured,ord_00252
pay_00253,ord_00253,999,INR,captured,ord_00253
pay_00254,ord_00254,499,INR,captured,ord_00254
pay_00255,ord_00255,2499,INR,captured,ord_00255
pay_00256,ord_00256,799,INR,captured,ord_00256
pay_00257,ord_00257,999,INR,captured,ord_00257
pay_00258,ord_00258,4999,INR,captured,ord_00258
pay_00259,ord_00259,1499,INR,captured,ord_00259
pay_00260,ord_00260,799,INR,captured,ord_00260
pay_00261,ord_00261,2499,INR,captured,ord_00261
pay_00262,ord_00262,799,INR,captured,ord_00262
pay_00263,ord_00263,4999,INR,captured,ord_00263
pay_00264,ord_00264,2499,INR,captured,ord_00264
pay_00265,ord_00265,2499,INR,captured,ord_00265
pay_00266,ord_00266,1499,INR,captured,ord_00266
pay_00267,ord_00267,799,INR,captured,ord_00267
pay_00268,ord_00268,1499,INR,captured,ord_00268
pay_00269,ord_00269,1499,INR,captured,ord_00269
pay_00270,ord_00270,799,INR,captured,ord_00270
pay_00271,ord_00271,499,INR,captured,ord_00271
pay_00272,ord_00272,499,INR,captured,ord_00272
pay_00273,ord_00273,4999,INR,captured,ord_00273
pay_00274,ord_00274,1499,INR,captured,ord_00274
pay_00275,ord_00275,999,INR,captured,ord_00275
pay_00276,ord_00276,1499,INR,captured,ord_00276
pay_00277,ord_00277,1499,INR,captured,ord_00277
pay_00278,ord_00278,1499,INR,captured,ord_00278
pay_00279,ord_00279,4999,INR,captured,ord_00279
pay_00280,ord_00280,499,INR,captured,ord_00280
pay_00281,ord_00281,4999,INR,captured,ord_00281
pay_00282,ord_00282,4999,INR,captured,ord_00282
pay_00283,ord_00283,4999,INR,captured,ord_00283
pay_00284,ord_00284,499,INR,captured,ord_00284
pay_00285,ord_00285,499,INR,captured,ord_00285
pay_00286,ord_00286,1499,INR,captured,ord_00286
pay_00287,ord_00287,4999,INR,captured,ord_00287
pay_00288,ord_00288,999,INR,captured,ord_00288
pay_00289,ord_00289,499,INR,captured,ord_00289
pay_00290,ord_00290,799,INR,captured,ord_00290
pay_00291,ord_00291,799,INR,captured,ord_00291
pay_00292,ord_00292,799,INR,captured,ord_00292
pay_00293,ord_00293,2499,INR,captured,ord_00293
pay_00294,ord_00294,1499,INR,captured,ord_00294
pay_00295,ord_00295,799,INR,captured,ord_00295
pay_00296,ord_00296,1499,INR,captured,ord_00296
pay_00297,ord_00297,799,INR,captured,ord_00297
pay_00298,ord_00298,999,INR,captured,ord_00298
pay_00299,ord_00299,1499,INR,captured,ord_00299
pay_00300,ord_00300,799,INR,captured,ord_00300
pay_00301,ord_00301,499,INR,captured,ord_00301
pay_00302,ord_00302,1499,INR,captured,ord_00302
pay_00303,ord_00303,2499,INR,captured,ord_00303
pay_00304,ord_00304,499,INR,captured,ord_00304
pay_00305,ord_00305,499,INR,captured,ord_00305
pay_00306,ord_00306,4999,INR,captured,ord_00306
pay_00307,ord_00307,2499,INR,captured,ord_00307
pay_00308,ord_00308,499,INR,captured,ord_00308
pay_00309,ord_00309,499,INR,captured,ord_00309
pay_00310,ord_00310,799,INR,captured,ord_00310
pay_00311,ord_00311,799,INR,captured,ord_00311
pay_00312,ord_00312,1499,INR,captured,ord_00312
pay_00313,ord_00313,1499,INR,captured,ord_00313
pay_00314,ord_00314,1499,INR,captured,ord_00314
pay_00315,ord_00315,799,INR,captured,ord_00315
pay_00316,ord_00316,1499,INR,captured,ord_00316
pay_00317,ord_00317,499,INR,captured,ord_00317
pay_00318,ord_00318,799,INR,captured,ord_00318
pay_00319,ord_00319,1499,INR,captured,ord_00319
pay_00320,ord_00320,499,INR,captured,ord_00320
pay_00321,ord_00321,1499,INR,captured,ord_00321
pay_00322,ord_00322,999,INR,captured,ord_00322
pay_00323,ord_00323,1499,INR,captured,ord_00323
pay_00324,ord_00324,999,INR,captured,ord_00324
pay_00325,ord_00325,1499,INR,captured,ord_00325
pay_00326,ord_00326,4999,INR,captured,ord_00326
pay_00327,ord_00327,4999,INR,captured,ord_00327
pay_00328,ord_00328,2499,INR,captured,ord_00328
pay_00329,ord_00329,4999,INR,captured,ord_00329
pay_00330,ord_00330,4999,INR,captured,ord_00330
pay_00331,ord_00331,1499,INR,captured,ord_00331
pay_00332,ord_00332,799,INR,captured,ord_00332
pay_00333,ord_00333,799,INR,captured,ord_00333
pay_00334,ord_00334,999,INR,captured,ord_00334
pay_00335,ord_00335,799,INR,captured,ord_00335
pay_00336,ord_00336,499,INR,captured,ord_00336
pay_00337,ord_00337,2499,INR,captured,ord_00337
pay_00338,ord_00338,4999,INR,captured,ord_00338
pay_00339,ord_00339,2499,INR,captured,ord_00339
pay_00340,ord_00340,499,INR,captured,ord_00340
pay_00341,ord_00341,4999,INR,captured,ord_00341
pay_00342,ord_00342,999,INR,captured,ord_00342
pay_00343,ord_00343,499,INR,captured,ord_00343
pay_00344,ord_00344,499,INR,captured,ord_00344
pay_00345,ord_00345,2499,INR,captured,ord_00345
pay_00346,ord_00346,1499,INR,captured,ord_00346
pay_00347,ord_00347,2499,INR,captured,ord_00347
pay_00348,ord_00348,2499,INR,captured,ord_00348
pay_00349,ord_00349,799,INR,captured,ord_00349
pay_00350,ord_00350,499,INR,captured,ord_00350
pay_00351,ord_00351,2499,INR,captured,ord_00351
pay_00352,ord_00352,499,INR,captured,ord_00352
pay_00353,ord_00353,799,INR,captured,ord_00353
pay_00354,ord_00354,499,INR,captured,ord_00354
pay_00355,ord_00355,2499,INR,captured,ord_00355
pay_00356,ord_00356,499,INR,captured,ord_00356
pay_00357,ord_00357,4999,INR,captured,ord_00357
pay_00358,ord_00358,799,INR,captured,ord_00358
pay_00359,ord_00359,1499,INR,captured,ord_00359
pay_00360,ord_00360,499,INR,captured,ord_00360
pay_00361,ord_00361,2499,INR,captured,ord_00361
pay_00362,ord_00362,799,INR,captured,ord_00362
pay_00363,ord_00363,2499,INR,captured,ord_00363
pay_00364,ord_00364,2499,INR,captured,ord_00364
pay_00365,ord_00365,499,INR,captured,ord_00365
pay_00366,ord_00366,2499,INR,captured,ord_00366
pay_00367,ord_00367,499,INR,captured,ord_00367
pay_00368,ord_00368,1499,INR,captured,ord_00368
pay_00369,ord_00369,4999,INR,captured,ord_00369
pay_00370,ord_00370,2499,INR,captured,ord_00370
pay_00371,ord_00371,2499,INR,captured,ord_00371
pay_00372,ord_00372,2499,INR,captured,ord_00372
pay_00373,ord_00373,999,INR,captured,ord_00373
pay_00374,ord_00374,999,INR,captured,ord_00374
pay_00375,ord_00375,799,INR,captured,ord_00375
pay_00376,ord_00376,4999,INR,captured,ord_00376
pay_00377,ord_00377,4999,INR,captured,ord_00377
pay_00378,ord_00378,999,INR,captured,ord_00378
pay_00379,ord_00379,799,INR,captured,ord_00379
pay_00380,ord_00380,999,INR,captured,ord_00380
pay_00381,ord_00381,1499,INR,captured,ord_00381
pay_00382,ord_00382,799,INR,captured,ord_00382
pay_00383,ord_00383,4999,INR,captured,ord_00383
pay_00384,ord_00384,4999,INR,captured,ord_00384
pay_00385,ord_00385,999,INR,captured,ord_00385
pay_00386,ord_00386,1499,INR,captured,ord_00386
pay_00387,ord_00387,999,INR,captured,ord_00387
pay_00388,ord_00388,499,INR,captured,ord_00388
pay_00389,ord_00389,499,INR,captured,ord_00389
pay_00390,ord_00390,1499,INR,captured,ord_00390
pay_00391,ord_00391,2499,INR,captured,ord_00391
pay_00392,ord_00392,2499,INR,captured,ord_00392
pay_00393,ord_00393,499,INR,captured,ord_00393
pay_00394,ord_00394,499,INR,captured,ord_00394
pay_00395,ord_00395,2499,INR,captured,ord_00395
pay_00396,ord_00396,799,INR,captured,ord_00396
pay_00397,ord_00397,2499,INR,captured,ord_00397
pay_00398,ord_00398,999,INR,captured,ord_00398
pay_00399,ord_00399,799,INR,captured,ord_00399
pay_00400,ord_00400,999,INR,captured,ord_00400
pay_00401,ord_00401,499,INR,captured,ord_00401
pay_00402,ord_00402,799,INR,captured,ord_00402
pay_00403,ord_00403,999,INR,captured,ord_00403
pay_00404,ord_00404,999,INR,captured,ord_00404
pay_00405,ord_00405,799,INR,captured,ord_00405
pay_00406,ord_00406,1499,INR,captured,ord_00406
pay_00407,ord_00407,2499,INR,captured,ord_00407
pay_00408,ord_00408,4999,INR,captured,ord_00408
pay_00409,ord_00409,999,INR,captured,ord_00409
pay_00410,ord_00410,2499,INR,captured,ord_00410
pay_00411,ord_00411,4999,INR,captured,ord_00411
pay_00412,ord_00412,2499,INR,captured,ord_00412
pay_00413,ord_00413,499,INR,captured,ord_00413
pay_00414,ord_00414,4999,INR,captured,ord_00414
pay_00415,ord_00415,2499,INR,captured,ord_00415
pay_00416,ord_00416,999,INR,captured,ord_00416
pay_00417,ord_00417,4999,INR,captured,ord_00417
pay_00418,ord_00418,499,INR,captured,ord_00418
pay_00419,ord_00419,799,INR,captured,ord_00419
pay_00420,ord_00420,999,INR,captured,ord_00420
pay_00421,ord_00421,499,INR,captured,ord_00421
pay_00422,ord_00422,499,INR,captured,ord_00422
pay_00423,ord_00423,4999,INR,captured,ord_00423
pay_00424,ord_00424,2499,INR,captured,ord_00424
pay_00425,ord_00425,799,INR,captured,ord_00425
pay_00426,ord_00426,999,INR,captured,ord_00426
pay_00427,ord_00427,999,INR,captured,ord_00427
pay_00428,ord_00428,2499,INR,captured,ord_00428
pay_00429,ord_00429,799,INR,captured,ord_00429
pay_00430,ord_00430,4999,INR,captured,ord_00430
pay_00431,ord_00431,999,INR,captured,ord_00431
pay_00432,ord_00432,799,INR,captured,ord_00432
pay_00433,ord_00433,4999,INR,captured,ord_00433
pay_00434,ord_00434,4999,INR,captured,ord_00434
pay_00435,ord_00435,999,INR,captured,ord_00435
pay_00436,ord_00436,2499,INR,captured,ord_00436
pay_00437,ord_00437,1499,INR,captured,ord_00437
pay_00438,ord_00438,999,INR,captured,ord_00438
pay_00439,ord_00439,499,INR,captured,ord_00439
pay_00440,ord_00440,499,INR,captured,ord_00440
pay_00441,ord_00441,4999,INR,captured,ord_00441
pay_00442,ord_00442,1499,INR,captured,ord_00442
pay_00443,ord_00443,999,INR,captured,ord_00443
pay_00444,ord_00444,499,INR,captured,ord_00444
pay_00445,ord_00445,499,INR,captured,ord_00445
pay_00446,ord_00446,999,INR,captured,ord_00446
pay_00447,ord_00447,799,INR,captured,ord_00447
pay_00448,ord_00448,4999,INR,captured,ord_00448
pay_00449,ord_00449,999,INR,captured,ord_00449
pay_00450,ord_00450,799,INR,captured,ord_00450
pay_00451,ord_00451,4999,INR,captured,ord_00451
pay_00452,ord_00452,1499,INR,captured,ord_00452
pay_00453,ord_00453,2499,INR,captured,ord_00453
pay_00454,ord_00454,4999,INR,captured,ord_00454
pay_00455,ord_00455,1499,INR,captured,ord_00455
pay_00456,ord_00456,2499,INR,captured,ord_00456
pay_00457,ord_00457,499,INR,captured,ord_00457
pay_00458,ord_00458,499,INR,captured,ord_00458
pay_00459,ord_00459,499,INR,captured,ord_00459
pay_00460,ord_00460,4999,INR,captured,ord_00460
pay_00461,ord_00461,799,INR,captured,ord_00461
pay_00462,ord_00462,2499,INR,captured,ord_00462
pay_00463,ord_00463,499,INR,captured,ord_00463
pay_00464,ord_00464,999,INR,captured,ord_00464
pay_00465,ord_00465,2499,INR,captured,ord_00465
pay_00466,ord_00466,2499,INR,captured,ord_00466
pay_00467,ord_00467,799,INR,captured,ord_00467
pay_00468,ord_00468,1499,INR,captured,ord_00468
pay_00469,ord_00469,799,INR,captured,ord_00469
pay_00470,ord_00470,499,INR,captured,ord_00470
pay_00471,ord_00471,999,INR,captured,ord_00471
pay_00472,ord_00472,999,INR,captured,ord_00472
pay_00473,ord_00473,499,INR,captured,ord_00473
pay_00474,ord_00474,999,INR,captured,ord_00474
pay_00475,ord_00475,799,INR,captured,ord_00475
pay_00476,ord_00476,4999,INR,captured,ord_00476
pay_00477,ord_00477,799,INR,captured,ord_00477
pay_00478,ord_00478,4999,INR,captured,ord_00478
pay_00479,ord_00479,499,INR,captured,ord_00479
pay_00480,ord_00480,999,INR,captured,ord_00480
pay_00481,ord_00481,2499,INR,captured,ord_00481
pay_00482,ord_00482,1499,INR,captured,ord_00482
pay_00483,ord_00483,2499,INR,captured,ord_00483
pay_00484,ord_00484,4999,INR,captured,ord_00484
pay_00485,ord_00485,799,INR,captured,ord_00485
pay_00486,ord_00486,799,INR,captured,ord_00486
pay_00487,ord_00487,799,INR,captured,ord_00487
pay_00488,ord_00488,799,INR,captured,ord_00488
pay_00489,ord_00489,1499,INR,captured,ord_00489
pay_00490,ord_00490,499,INR,captured,ord_00490
pay_00491,ord_00491,799,INR,captured,ord_00491
pay_00492,ord_00492,4999,INR,captured,ord_00492
pay_00493,ord_00493,999,INR,captured,ord_00493
pay_00494,ord_00494,1499,INR,captured,ord_00494
pay_00495,ord_00495,4999,INR,captured,ord_00495
pay_00496,ord_00496,4999,INR,captured,ord_00496
pay_00497,ord_00497,799,INR,captured,ord_00497
pay_00498,ord_00498,999,INR,captured,ord_00498
pay_00499,ord_00499,799,INR,captured,ord_00499
pay_00500,ord_00500,4999,INR,captured,ord_00500
pay_00501,ord_00501,499,INR,captured,ord_00501
pay_00502,ord_00502,1499,INR,captured,ord_00502
pay_00503,ord_00503,499,INR,captured,ord_00503
pay_00504,ord_00504,1499,INR,captured,ord_00504
pay_00505,ord_00505,799,INR,captured,ord_00505
pay_00506,ord_00506,799,INR,captured,ord_00506
pay_00507,ord_00507,1499,INR,captured,ord_00507
pay_00508,ord_00508,999,INR,captured,ord_00508
pay_00509,ord_00509,999,INR,captured,ord_00509
pay_00510,ord_00510,799,INR,captured,ord_00510
pay_00511,ord_00511,799,INR,captured,ord_00511
pay_00512,ord_00512,499,INR,captured,ord_00512
pay_00513,ord_00513,4999,INR,captured,ord_00513
pay_00514,ord_00514,799,INR,captured,ord_00514
pay_00515,ord_00515,1499,INR,captured,ord_00515
pay_00516,ord_00516,999,INR,captured,ord_00516
pay_00517,ord_00517,999,INR,captured,ord_00517
pay_00518,ord_00518,499,INR,captured,ord_00518
pay_00519,ord_00519,999,INR,captured,ord_00519
pay_00520,ord_00520,999,INR,captured,ord_00520
pay_00521,ord_00521,4999,INR,captured,ord_00521
pay_00522,ord_00522,2499,INR,captured,ord_00522
pay_00523,ord_00523,1499,INR,captured,ord_00523
pay_00524,ord_00524,4999,INR,captured,ord_00524
pay_00525,ord_00525,2499,INR,captured,ord_00525
pay_00526,ord_00526,999,INR,captured,ord_00526
pay_00527,ord_00527,499,INR,captured,ord_00527
