transaction_id,settlement_id,payment_id,gross_amount,fee,tax,net_amount,currency,settlement_date
txn_00055,set_00055,pay_00055,12509.55,250.19,45.03,12214.33,INR,2026-08-16
txn_00056,set_00056,pay_00056,12770.91,255.42,45.98,12469.51,INR,2026-08-15
txn_00057,set_00057,pay_00057,10445.71,208.91,37.6,10199.2,INR,2026-08-24
txn_00058,set_00058,pay_00058,6168.9,123.38,22.21,6023.31,INR,2026-08-28
txn_00059,set_00059,pay_00059,3701.59,74.03,13.33,3614.23,INR,2026-08-11
txn_00060,set_00060,pay_00060,23054.52,461.09,83.0,22510.43,INR,2026-08-26
txn_00061,set_00061,pay_00061,18682.68,373.65,67.26,18241.77,INR,2026-08-09
txn_00062,set_00062,pay_00062,21614.27,432.29,77.81,21104.17,INR,2026-08-15
txn_00063,set_00063,pay_00063,19339.61,386.79,69.62,18883.2,INR,2026-08-21
txn_00064,set_00064,pay_00064,8562.89,171.26,30.83,8360.8,INR,2026-08-26
txn_00065,set_00065,pay_00065,6752.6,135.05,24.31,6593.24,INR,2026-08-03
txn_00066,set_00066,pay_00066,7142.69,142.85,25.71,6974.13,INR,2026-08-16
txn_00067,set_00067,pay_00067,20953.15,419.06,75.43,20458.66,INR,2026-08-29
txn_00068,set_00068,pay_00068,24972.67,499.45,89.9,24383.32,INR,2026-08-25
txn_00069,set_00069,pay_00069,21644.99,432.9,77.92,21134.17,INR,2026-08-23
txn_00070,set_00070,pay_00070,13510.66,270.21,48.64,13191.81,INR,2026-08-18
txn_00071,set_00071,pay_00071,8377.75,167.56,30.16,8180.03,INR,2026-08-27
txn_00072,set_00072,pay_00072,9492.53,189.85,34.17,9268.51,INR,2026-08-17
txn_00073,set_00073,pay_00073,21753.08,435.06,78.31,21239.71,INR,2026-08-13
txn_00074,set_00074,pay_00074,14337.76,286.76,51.62,13999.38,INR,2026-08-13
txn_00075,set_00075,pay_00075,21414.72,428.29,77.09,20909.34,INR,2026-08-21
txn_00076,set_00076,pay_00076,1186.82,23.74,4.27,1158.81,INR,2026-08-24
txn_00077,set_00077,pay_00077,17660.17,353.2,63.58,17243.39,INR,2026-08-20
txn_00078,set_00078,pay_00078,16625.85,332.52,59.85,16233.48,INR,2026-09-01
txn_00079,set_00079,pay_00079,24522.37,490.45,88.28,23943.64,INR,2026-08-25
txn_00080,set_00080,pay_00080,24124.13,482.48,86.85,23554.8,INR,2026-08-08
txn_00081,set_00081,pay_00081,12607.05,252.14,45.39,12309.52,INR,2026-08-29
txn_00082,set_00082,pay_00082,8366.67,167.33,30.12,8169.22,INR,2026-08-07
txn_00083,set_00083,pay_00083,21867.34,437.35,78.72,21351.27,INR,2026-08-23
txn_00084,set_00084,pay_00084,2582.82,51.66,9.3,2521.86,INR,2026-08-23
txn_00085,set_00085,pay_00085,482.16,9.64,1.74,470.78,INR,2026-08-09
txn_00086,set_00086,pay_00086,10308.47,206.17,37.11,10065.19,INR,2026-09-01
txn_00087,set_00087,pay_00087,24251.92,485.04,87.31,23679.57,INR,2026-08-06
txn_00088,set_00088,pay_00088,11790.32,235.81,42.45,11512.06,INR,2026-08-15
txn_00089,set_00089,pay_00089,8530.17,170.6,30.71,8328.86,INR,2026-08-21
txn_00090,set_00090,pay_00090,16280.93,325.62,58.61,15896.7,INR,2026-08-17
txn_00091,set_00091,pay_00091,21323.3,426.47,76.76,20820.07,INR,2026-08-27
txn_00092,set_00092,pay_00092,7984.86,159.7,28.75,7796.41,INR,2026-08-25
txn_00093,set_00093,pay_00093,21822.34,436.45,78.56,21307.33,INR,2026-08-04
txn_00094,set_00094,pay_00094,15474.74,309.49,55.71,15109.54,INR,2026-08-13
txn_00095,set_00095,pay_00095,15815.91,316.32,56.94,15442.65,INR,2026-08-16
txn_00096,set_00096,pay_00096,24935.91,498.72,89.77,24347.42,INR,2026-08-07
txn_00097,set_00097,pay_00097,10905.89,218.12,39.26,10648.51,INR,2026-08-07
txn_00098,set_00098,pay_00098,19033.21,380.66,68.52,18584.03,INR,2026-08-07
txn_00099,set_00099,pay_00099,11147.6,222.95,40.13,10884.52,INR,2026-08-16
txn_00100,set_00100,pay_00100,22595.26,451.91,81.34,22062.01,INR,2026-08-05
txn_00101,set_00101,pay_00101,8176.93,163.54,29.44,7983.95,INR,2026-08-05
txn_00102,set_00102,pay_00102,9433.54,188.67,33.96,9210.91,INR,2026-08-09
txn_00103,set_00103,pay_00103,6180.52,123.61,22.25,6034.66,INR,2026-08-21
txn_00104,set_00104,pay_00104,14191.61,283.83,51.09,13856.69,INR,2026-08-11
txn_00105,set_00105,pay_00105,4332.59,86.65,15.6,4230.34,INR,2026-08-06
txn_00106,set_00106,pay_00106,15276.35,305.53,55.0,14915.82,INR,2026-08-20
txn_00107,set_00107,pay_00107,15530.79,310.62,55.91,15164.26,INR,2026-08-13
txn_00108,set_00108,pay_00108,12491.91,249.84,44.97,12197.1,INR,2026-08-29
txn_00109,set_00109,pay_00109,11582.63,231.65,41.7,11309.28,INR,2026-08-14
txn_00110,set_00110,pay_00110,11543.31,230.87,41.56,11270.88,INR,2026-08-03
txn_00111,set_00111,pay_00111,22482.82,449.66,80.94,21952.22,INR,2026-08-24
txn_00112,set_00112,pay_00112,22540.11,450.8,81.14,22008.17,INR,2026-08-27
txn_00113,set_00113,pay_00113,4033.59,80.67,14.52,3938.4,INR,2026-08-23
txn_00114,set_00114,pay_00114,23636.37,472.73,85.09,23078.55,INR,2026-08-29
txn_00115,set_00115,pay_00115,7548.94,150.98,27.18,7370.78,INR,2026-08-22
txn_00116,set_00116,pay_00116,17288.81,345.78,62.24,16880.79,INR,2026-08-23
txn_00117,set_00117,pay_00117,21148.07,422.96,76.13,20648.98,INR,2026-08-12
txn_00118,set_00118,pay_00118,24984.4,499.69,89.94,24394.77,INR,2026-08-24
txn_00119,set_00119,pay_00119,2755.67,55.11,9.92,2690.64,INR,2026-08-20
txn_00120,set_00120,pay_00120,14340.88,286.82,51.63,14002.43,INR,2026-08-29
txn_00121,set_00121,pay_00121,7467.22,149.34,26.88,7291.0,INR,2026-08-16
txn_00122,set_00122,pay_00122,646.3,12.93,2.33,631.04,INR,2026-09-01
txn_00123,set_00123,pay_00123,9955.56,199.11,35.84,9720.61,INR,2026-08-03
txn_00124,set_00124,pay_00124,17176.41,343.53,61.84,16771.04,INR,2026-08-05
txn_00125,set_00125,pay_00125,22774.36,455.49,81.99,22236.88,INR,2026-08-25
txn_00126,set_00126,pay_00126,20837.69,416.75,75.02,20345.92,INR,2026-08-16
txn_00127,set_00127,pay_00127,19415.95,388.32,69.9,18957.73,INR,2026-08-13
txn_00128,set_00128,pay_00128,15215.92,304.32,54.78,14856.82,INR,2026-08-19
txn_00129,set_00129,pay_00129,4834.29,96.69,17.4,4720.2,INR,2026-08-14
txn_00130,set_00130,pay_00130,16976.34,339.53,61.12,16575.69,INR,2026-09-02
txn_00131,set_00131,pay_00131,17053.29,341.07,61.39,16650.83,INR,2026-08-09
txn_00132,set_00132,pay_00132,15743.38,314.87,56.68,15371.83,INR,2026-08-31
txn_00133,set_00133,pay_00133,16193.88,323.88,58.3,15811.7,INR,2026-08-17
txn_00134,set_00134,pay_00134,19736.4,394.73,71.05,19270.62,INR,2026-08-04
txn_00135,set_00135,pay_00135,14531.39,290.63,52.31,14188.45,INR,2026-08-08
txn_00136,set_00136,pay_00136,2344.32,46.89,8.44,2288.99,INR,2026-08-16
txn_00137,set_00137,pay_00137,8235.31,164.71,29.65,8040.95,INR,2026-08-21
txn_00138,set_00138,pay_00138,4473.44,89.47,16.1,4367.87,INR,2026-08-09
txn_00139,set_00139,pay_00139,19684.17,393.68,70.86,19219.63,INR,2026-08-19
txn_00140,set_00140,pay_00140,13318.22,266.36,47.94,13003.92,INR,2026-08-15
txn_00141,set_00141,pay_00141,20778.77,415.58,74.8,20288.39,INR,2026-08-14
txn_00142,set_00142,pay_00142,22859.82,457.2,82.3,22320.32,INR,2026-08-24
txn_00143,set_00143,pay_00143,24187.86,483.76,87.08,23617.02,INR,2026-08-16
txn_00144,set_00144,pay_00144,18689.33,373.79,67.28,18248.26,INR,2026-08-18
txn_00145,set_00145,pay_00145,20125.39,402.51,72.45,19650.43,INR,2026-08-24
txn_00146,set_00146,pay_00146,3604.85,72.1,12.98,3519.77,INR,2026-08-13
txn_00147,set_00147,pay_00147,21517.5,430.35,77.46,21009.69,INR,2026-08-21
txn_00148,set_00148,pay_00148,24185.02,483.7,87.07,23614.25,INR,2026-08-28
txn_00149,set_00149,pay_00149,9207.8,184.16,33.15,8990.49,INR,2026-08-20
txn_00150,set_00150,pay_00150,446.57,8.93,1.61,436.03,INR,2026-08-27
txn_00151,set_00151,pay_00151,9277.78,185.56,33.4,9058.82,INR,2026-08-14
txn_00152,set_00152,pay_00152,20578.19,411.56,74.08,20092.55,INR,2026-08-19
txn_00153,set_00153,pay_00153,2797.82,55.96,10.07,2731.79,INR,2026-08-13
txn_00154,set_00154,pay_00154,11839.77,236.8,42.62,11560.35,INR,2026-08-31
txn_00155,set_00155,pay_00155,22117.45,442.35,79.62,21595.48,INR,2026-08-28
txn_00156,set_00156,pay_00156,8267.36,165.35,29.76,8072.25,INR,2026-08-30
txn_00157,set_00157,pay_00157,5612.04,112.24,20.2,5479.6,INR,2026-08-05
txn_00158,set_00158,pay_00158,15921.56,318.43,57.32,15545.81,INR,2026-08-24
txn_00159,set_00159,pay_00159,22743.75,454.88,81.88,22206.99,INR,2026-08-16
txn_00160,set_00160,pay_00160,3005.23,60.1,10.82,2934.31,INR,2026-08-05
txn_00161,set_00161,pay_00161,7678.68,153.57,27.64,7497.47,INR,2026-08-25
txn_00162,set_00162,pay_00162,2991.4,59.83,10.77,2920.8,INR,2026-08-13
txn_00163,set_00163,pay_00163,22192.76,443.86,79.89,21669.01,INR,2026-08-09
txn_00164,set_00164,pay_00164,9777.28,195.55,35.2,9546.53,INR,2026-08-19
txn_00165,set_00165,pay_00165,16795.11,335.9,60.46,16398.75,INR,2026-08-27
txn_00166,set_00166,pay_00166,10536.26,210.73,37.93,10287.6,INR,2026-08-10
txn_00167,set_00167,pay_00167,16407.56,328.15,59.07,16020.34,INR,2026-08-25
txn_00168,set_00168,pay_00168,15429.74,308.59,55.55,15065.6,INR,2026-08-15
txn_00169,set_00169,pay_00169,914.64,18.29,3.29,893.06,INR,2026-08-19
txn_00170,set_00170,pay_00170,5510.02,110.2,19.84,5379.98,INR,2026-08-23
txn_00171,set_00171,pay_00171,23768.82,475.38,85.57,23207.87,INR,2026-08-19
txn_00172,set_00172,pay_00172,2573.93,51.48,9.27,2513.18,INR,2026-08-19
txn_00173,set_00173,pay_00173,13657.2,273.14,49.17,13334.89,INR,2026-09-01
txn_00174,set_00174,pay_00174,9030.98,180.62,32.51,8817.85,INR,2026-08-21
txn_00175,set_00175,pay_00175,6969.45,139.39,25.09,6804.97,INR,2026-08-08
txn_00176,set_00176,pay_00176,20622.36,412.45,74.24,20135.67,INR,2026-08-07
txn_00177,set_00177,pay_00177,16602.94,332.06,59.77,16211.11,INR,2026-09-01
txn_00178,set_00178,pay_00178,24280.22,485.6,87.41,23707.21,INR,2026-08-05
txn_00179,set_00179,pay_00179,19691.19,393.82,70.89,19226.48,INR,2026-08-14
txn_00180,set_00180,pay_00180,24721.64,494.43,89.0,24138.21,INR,2026-08-28
txn_00181,set_00181,pay_00181,5209.62,104.19,18.75,5086.68,INR,2026-08-28
txn_00182,set_00182,pay_00182,5258.22,105.16,18.93,5134.13,INR,2026-08-12
txn_00183,set_00183,pay_00183,20345.02,406.9,73.24,19864.88,INR,2026-08-13
txn_00184,set_00184,pay_00184,8281.13,165.62,29.81,8085.7,INR,2026-08-09
txn_00185,set_00185,pay_00185,19737.23,394.74,71.05,19271.44,INR,2026-08-30
txn_00186,set_00186,pay_00186,170.61,3.41,0.61,166.59,INR,2026-08-09
txn_00187,set_00187,pay_00187,24789.43,495.79,89.24,24204.4,INR,2026-08-27
txn_00188,set_00188,pay_00188,6341.29,126.83,22.83,6191.63,INR,2026-08-10
txn_00189,set_00189,pay_00189,2837.17,56.74,10.21,2770.22,INR,2026-08-04
txn_00190,set_00190,pay_00190,3381.9,67.64,12.18,3302.08,INR,2026-08-19
txn_00191,set_00191,pay_00191,19770.62,395.41,71.17,19304.04,INR,2026-08-13
txn_00192,set_00192,pay_00192,14762.44,295.25,53.14,14414.05,INR,2026-08-03
txn_00193,set_00193,pay_00193,4438.73,88.77,15.98,4333.98,INR,2026-08-05
txn_00194,set_00194,pay_00194,3256.29,65.13,11.72,3179.44,INR,2026-08-22
txn_00195,set_00195,pay_00195,13199.53,263.99,47.52,12888.02,INR,2026-08-05
txn_00196,set_00196,pay_00196,11958.52,239.17,43.05,11676.3,INR,2026-08-19
txn_00197,set_00197,pay_00197,12879.63,257.59,46.37,12575.67,INR,2026-08-07
txn_00198,set_00198,pay_00198,5616.59,112.33,20.22,5484.04,INR,2026-08-30
txn_00199,set_00199,pay_00199,1179.79,23.6,4.25,1151.94,INR,2026-09-01
txn_00200,set_00200,pay_00200,13084.14,261.68,47.1,12775.36,INR,2026-08-23
txn_00201,set_00201,pay_00201,16119.18,322.38,58.03,15738.77,INR,2026-08-04
txn_00202,set_00202,pay_00202,1614.55,32.29,5.81,1576.45,INR,2026-08-24
txn_00203,set_00203,pay_00203,21197.73,423.95,76.31,20697.47,INR,2026-08-22
txn_00204,set_00204,pay_00204,17183.83,343.68,61.86,16778.29,INR,2026-08-25
txn_00205,set_00205,pay_00205,17838.79,356.78,64.22,17417.79,INR,2026-08-23
txn_00206,set_00206,pay_00206,1929.92,38.6,6.95,1884.37,INR,2026-08-06
txn_00207,set_00207,pay_00207,8220.58,164.41,29.59,8026.58,INR,2026-08-09
txn_00208,set_00208,pay_00208,1735.49,34.71,6.25,1694.53,INR,2026-08-15
txn_00209,set_00209,pay_00209,15645.51,312.91,56.32,15276.28,INR,2026-08-29
txn_00210,set_00210,pay_00210,13754.08,275.08,49.51,13429.49,INR,2026-08-17
txn_00211,set_00211,pay_00211,9584.52,191.69,34.5,9358.33,INR,2026-08-30
txn_00212,set_00212,pay_00212,13310.87,266.22,47.92,12996.73,INR,2026-08-23
txn_00213,set_00213,pay_00213,12688.22,253.76,45.68,12388.78,INR,2026-08-22
txn_00214,set_00214,pay_00214,2569.54,51.39,9.25,2508.9,INR,2026-08-08
txn_00215,set_00215,pay_00215,21334.54,426.69,76.8,20831.05,INR,2026-09-01
txn_00216,set_00216,pay_00216,21954.88,439.1,79.04,21436.74,INR,2026-08-28
txn_00217,set_00217,pay_00217,18048.91,360.98,64.98,17622.95,INR,2026-08-12
txn_00218,set_00218,pay_00218,10808.74,216.17,38.91,10553.66,INR,2026-08-13
txn_00219,set_00219,pay_00219,10403.96,208.08,37.45,10158.43,INR,2026-08-23
txn_00220,set_00220,pay_00220,10028.38,200.57,36.1,9791.71,INR,2026-08-07
txn_00221,set_00221,pay_00221,7882.45,157.65,28.38,7696.42,INR,2026-08-17
txn_00222,set_00222,pay_00222,16661.19,333.22,59.98,16267.99,INR,2026-08-20
txn_00223,set_00223,pay_00223,23844.45,476.89,85.84,23281.72,INR,2026-08-24
txn_00224,set_00224,pay_00224,1771.62,35.43,6.38,1729.81,INR,2026-08-06
txn_00225,set_00225,pay_00225,2421.43,48.43,8.72,2364.28,INR,2026-08-07
txn_00226,set_00226,pay_00226,18640.27,372.81,67.11,18200.35,INR,2026-08-19
txn_00227,set_00227,pay_00227,20313.06,406.26,73.13,19833.67,INR,2026-08-28
txn_00228,set_00228,pay_00228,1593.53,31.87,5.74,1555.92,INR,2026-08-28
txn_00229,set_00229,pay_00229,14085.92,281.72,50.71,13753.49,INR,2026-08-08
txn_00230,set_00230,pay_00230,10329.13,206.58,37.18,10085.37,INR,2026-08-22
txn_00231,set_00231,pay_00231,21715.49,434.31,78.18,21203.0,INR,2026-08-05
txn_00232,set_00232,pay_00232,24213.13,484.26,87.17,23641.7,INR,2026-08-30
txn_00233,set_00233,pay_00233,7879.98,157.6,28.37,7694.01,INR,2026-08-07
txn_00234,set_00234,pay_00234,14490.17,289.8,52.16,14148.21,INR,2026-08-12
txn_00235,set_00235,pay_00235,3952.78,79.06,14.23,3859.49,INR,2026-08-24
txn_00236,set_00236,pay_00236,2794.64,55.89,10.06,2728.69,INR,2026-08-28
txn_00237,set_00237,pay_00237,9252.27,185.05,33.31,9033.91,INR,2026-08-15
txn_00238,set_00238,pay_00238,14395.09,287.9,51.82,14055.37,INR,2026-08-22
txn_00239,set_00239,pay_00239,21144.36,422.89,76.12,20645.35,INR,2026-08-31
txn_00240,set_00240,pay_00240,15377.97,307.56,55.36,15015.05,INR,2026-09-01
txn_00241,set_00241,pay_00241,13962.82,279.26,50.27,13633.29,INR,2026-08-30
txn_00242,set_00242,pay_00242,20753.57,415.07,74.71,20263.79,INR,2026-08-15
txn_00243,set_00243,pay_00243,820.93,16.42,2.96,801.55,INR,2026-08-15
txn_00244,set_00244,pay_00244,17597.2,351.94,63.35,17181.91,INR,2026-08-17
txn_00245,set_00245,pay_00245,23046.28,460.93,82.97,22502.38,INR,2026-08-18
txn_00246,set_00246,pay_00246,252.03,5.04,0.91,246.08,INR,2026-08-09
txn_00247,set_00247,pay_00247,14201.4,284.03,51.13,13866.24,INR,2026-08-21
txn_00248,set_00248,pay_00248,1832.68,36.65,6.6,1789.43,INR,2026-08-31
txn_00249,set_00249,pay_00249,24298.08,485.96,87.47,23724.65,INR,2026-08-07
txn_00250,set_00250,pay_00250,18678.18,373.56,67.24,18237.38,INR,2026-08-12
txn_00251,set_00251,pay_00251,9467.24,189.34,34.08,9243.82,INR,2026-08-23
txn_00252,set_00252,pay_00252,8588.31,171.77,30.92,8385.62,INR,2026-08-19
txn_00253,set_00253,pay_00253,7859.77,157.2,28.3,7674.27,INR,2026-08-17
txn_00254,set_00254,pay_00254,19443.21,388.86,69.99,18984.36,INR,2026-08-28
txn_00255,set_00255,pay_00255,14945.97,298.92,53.81,14593.24,INR,2026-08-05
txn_00256,set_00256,pay_00256,3973.94,79.48,14.31,3880.15,INR,2026-08-31
txn_00257,set_00257,pay_00257,2131.38,42.63,7.67,2081.08,INR,2026-08-23
txn_00258,set_00258,pay_00258,16582.27,331.65,59.7,16190.92,INR,2026-08-25
txn_00259,set_00259,pay_00259,15216.19,304.32,54.78,14857.09,INR,2026-08-21
txn_00260,set_00260,pay_00260,6901.85,138.04,24.85,6738.96,INR,2026-08-26
txn_00261,set_00261,pay_00261,2934.06,58.68,10.56,2864.82,INR,2026-08-22
txn_00262,set_00262,pay_00262,2861.16,57.22,10.3,2793.64,INR,2026-08-29
txn_00263,set_00263,pay_00263,16711.6,334.23,60.16,16317.21,INR,2026-08-05
txn_00264,set_00264,pay_00264,5590.91,111.82,20.13,5458.96,INR,2026-08-30
txn_00265,set_00265,pay_00265,1464.07,29.28,5.27,1429.52,INR,2026-08-12
txn_00266,set_00266,pay_00266,7605.34,152.11,27.38,7425.85,INR,2026-08-12
txn_00267,set_00267,pay_00267,19207.0,384.14,69.15,18753.71,INR,2026-08-14
txn_00268,set_00268,pay_00268,7307.23,146.14,26.31,7134.78,INR,2026-08-08
txn_00269,set_00269,pay_00269,292.47,5.85,1.05,285.57,INR,2026-08-22
txn_00270,set_00270,pay_00270,4474.8,89.5,16.11,4369.19,INR,2026-08-20
txn_00271,set_00271,pay_00271,13361.3,267.23,48.1,13045.97,INR,2026-08-13
txn_00272,set_00272,pay_00272,12556.53,251.13,45.2,12260.2,INR,2026-08-19
txn_00273,set_00273,pay_00273,1894.68,37.89,6.82,1849.97,INR,2026-08-04
txn_00274,set_00274,pay_00274,10961.87,219.24,39.46,10703.17,INR,2026-08-23
txn_00275,set_00275,pay_00275,23036.94,460.74,82.93,22493.27,INR,2026-08-17
txn_00276,set_00276,pay_00276,14436.4,288.73,51.97,14095.7,INR,2026-08-29
txn_00277,set_00277,pay_00277,10170.13,203.4,36.61,9930.12,INR,2026-09-01
txn_00278,set_00278,pay_00278,10500.58,210.01,37.8,10252.77,INR,2026-08-08
txn_00279,set_00279,pay_00279,10185.3,203.71,36.67,9944.92,INR,2026-08-17
txn_00280,set_00280,pay_00280,4379.64,87.59,15.77,4276.28,INR,2026-08-31
txn_00281,set_00281,pay_00281,11556.41,231.13,41.6,11283.68,INR,2026-08-19
txn_00282,set_00282,pay_00282,2294.43,45.89,8.26,2240.28,INR,2026-08-07
txn_00283,set_00283,pay_00283,14762.9,295.26,53.15,14414.49,INR,2026-08-26
txn_00284,set_00284,pay_00284,2058.31,41.17,7.41,2009.73,INR,2026-08-17
txn_00285,set_00285,pay_00285,18670.54,373.41,67.21,18229.92,INR,2026-08-13
txn_00286,set_00286,pay_00286,8393.41,167.87,30.22,8195.32,INR,2026-08-10
txn_00287,set_00287,pay_00287,2001.85,40.04,7.21,1954.6,INR,2026-08-31
txn_00288,set_00288,pay_00288,2939.26,58.79,10.58,2869.89,INR,2026-08-26
txn_00289,set_00289,pay_00289,4928.2,98.56,17.74,4811.9,INR,2026-08-18
txn_00290,set_00290,pay_00290,8842.38,176.85,31.83,8633.7,INR,2026-09-01
txn_00291,set_00291,pay_00291,20394.42,407.89,73.42,19913.11,INR,2026-08-13
txn_00292,set_00292,pay_00292,2659.83,53.2,9.58,2597.05,INR,2026-08-14
txn_00293,set_00293,pay_00293,5012.07,100.24,18.04,4893.79,INR,2026-08-30
txn_00294,set_00294,pay_00294,3906.46,78.13,14.06,3814.27,INR,2026-09-01
txn_00295,set_00295,pay_00295,1976.3,39.53,7.12,1929.65,INR,2026-08-31
txn_00296,set_00296,pay_00296,12403.51,248.07,44.65,12110.79,INR,2026-08-28
txn_00297,set_00297,pay_00297,19020.94,380.42,68.48,18572.04,INR,2026-08-23
txn_00298,set_00298,pay_00298,17060.22,341.2,61.42,16657.6,INR,2026-08-28
txn_00299,set_00299,pay_00299,16110.5,322.21,58.0,15730.29,INR,2026-08-31
txn_00300,set_00300,pay_00300,8147.89,162.96,29.33,7955.6,INR,2026-08-31
txn_00301,set_00301,pay_00301,7971.86,159.44,28.7,7783.72,INR,2026-08-23
txn_00302,set_00302,pay_00302,1800.33,36.01,6.48,1757.84,INR,2026-08-23
txn_00303,set_00303,pay_00303,15821.49,316.43,56.96,15448.1,INR,2026-08-15
txn_00304,set_00304,pay_00304,14826.35,296.53,53.38,14476.44,INR,2026-08-19
txn_00305,set_00305,pay_00305,12732.69,254.65,45.84,12432.2,INR,2026-08-17
txn_00306,set_00306,pay_00306,11597.39,231.95,41.75,11323.69,INR,2026-08-04
txn_00307,set_00307,pay_00307,1516.56,30.33,5.46,1480.77,INR,2026-08-16
txn_00308,set_00308,pay_00308,2010.6,40.21,7.24,1963.15,INR,2026-08-07
txn_00309,set_00309,pay_00309,12725.99,254.52,45.81,12425.66,INR,2026-08-24
